Gene	GSM1695086	GSM1695087	GSM1695084	GSM1695085	GSM1695088	GSM1695089	GSM1695091	GSM1695090
11536	6.627818239	6.540262912	6.601549657	6.604764973	6.55729509	6.5393904055	6.5259127185	6.622562861
11537	12.35325317	12.53826365	13.34599313	13.34599313	12.5257499	13.30121041	12.3958981	12.58326742
11538	9.39107273233333	9.58941786666667	9.44484029266667	9.43450014466667	9.64939955833333	9.61466002166667	9.445079185	9.51383017
11539	6.742422683	6.78048100833333	6.87052457333333	6.822440146	6.64458875433333	6.80130879	6.72843288866667	6.72316633933333
11540	6.549602512	6.399971501	6.435445877	6.46937274	6.373097831	6.431381125	6.44744256	6.503507098
11541	6.799544392	6.871956611	6.861383171	6.604729455	6.768470789	6.775297347	6.717410225	6.779657641
11544	9.908029218	9.75368135	9.998423387	9.771134041	9.763961286	9.941797843	9.863298699	9.011759151
11545	8.276445266	8.09837597866667	8.279997572	8.28912144266667	7.98898742066667	8.06150294	8.12020296333333	7.892298578
11546	8.9177604215	8.924627064	8.844930687	8.7385963445	8.926747088	8.868752697	8.8534550595	9.0300079745
11548	6.4294305685	6.4125530295	6.429246185	6.4351653525	6.438501404	6.437021372	6.440141994	6.433495309
11549	6.60351655533333	6.55641078666667	6.62640614033333	6.62072156633333	6.56265990966667	6.59816553066667	6.62347642866667	6.59508590333333
11550	6.3916659095	6.4340185115	6.460462601	6.4618750525	6.4084784475	6.468647006	6.4111582005	6.378261336
11551	8.601607679	8.408751076	8.756799962	8.398914258	8.09886806	8.20576898	7.83986272	8.347193147
11552	6.461287496	6.53223994766667	6.44884802466667	6.469698849	6.447154473	6.46330956666667	6.450086854	6.45595092266667
11553	6.621437204	6.5913399695	6.6167059755	6.6554133265	6.5466455725	6.568741197	6.5554241775	6.5939224915
11554	6.4901074335	6.470933289	6.5463514265	6.5183219945	6.6046220015	6.4967458325	6.5555363045	6.498540495
11555	6.619640829	6.707772783	6.805485453	6.85294023	6.789628898	6.987606238	6.756950305	6.843721771
11556	6.704091786	6.553319176	6.854990472	6.731846276	6.693011289	6.908464479	6.775476786	6.661180134
11564	7.24565749	7.1657630205	7.259669902	7.260592	7.1054329945	7.16021969	7.129022375	7.1737179125
11565	8.49161327766667	8.21897553466667	8.43955483966667	8.43262002433333	8.32943271566667	8.22785057633333	8.451806403	8.22689657833333
11566	7.053951725	7.124866232	7.2544841815	7.108419995	7.283021427	7.1251138945	7.189316832	6.756484794
11567	6.735951457	6.873175492	6.601290869	6.736309954	7.330379352	6.930032373	6.894544858	7.163530851
11568	12.50392781	12.17078706	12.43148335	12.55603986	11.99751449	12.26010453	12.20219376	11.87190341
11569	7.2707353122	7.283016185	7.1990912314	7.2189058854	7.3079604926	7.2771314524	7.2678822112	7.3316259034
11571	6.3809550815	6.4379031365	6.382706203	6.380123802	6.3807663945	6.380500559	6.3810777795	6.372139913
11572	6.340942075	6.356993439	6.31069251	6.34859239	6.330465435	6.43955749	6.399091628	6.37202399
11576	6.476059135	6.539233361	6.473898678	6.475198596	6.398322805	6.49110957	6.47007075	6.541925065
