Gene	GMA2a	GMA2b	GMA2c	GMA2d	GMA2e	GMA3a	GMA3b	GMA3c	GMA3d	GMA3e	GMA4a	GMA4b	GMA4c	GMA4d	GMA4e	GMA2a.1	GMA2b.1	GMA2c.1	GMA2d.1	GMA2e.1	GMA3a.1	GMA3b.1	GMA3c.1	GMA3d.1	GMA3e.1	GMA4a.1	GMA4b.1	GMA4c.1	GMA4d.1	GMA4e.1
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11501 -1.3424979 -1.5031752 -1.3459403 -1.5178123 -1.4490471 -1.3592083 -1.4811563 -1.357109 -1.503511 -1.2761374 -1.3761785 -1.5459888 -1.5668277 -1.5865735 -1.4913461 -1.3424979 -1.5031752 -1.3459403 -1.5178123 -1.4490471 -1.3592083 -1.4811563 -1.357109 -1.503511 -1.2761374 -1.3761785 -1.5459888 -1.5668277 -1.5865735 -1.4913461
11502 0.07381869 0.0162509 0.04134528 0.19370948 0.02135205 0.1982492 0.3093545 0.08493697 0.17714142 -0.1626709 -0.0029229 0.24609886 0.08279417 0.06076274 0.15821778 0.07381869 0.0162509 0.04134528 0.19370948 0.02135205 0.1982492 0.3093545 0.08493697 0.17714142 -0.1626709 -0.0029229 0.24609886 0.08279417 0.06076274 0.15821778
11504 -0.6895886 -0.7802975 -0.9454517 -0.7903606 -0.8199736 -0.7146903 -0.5669933 -0.6047837 -0.7237995 -1.048424 -0.6477253 -0.8956272 -0.6950841 -0.6779786 -0.8798097 -0.6895886 -0.7802975 -0.9454517 -0.7903606 -0.8199736 -0.7146903 -0.5669933 -0.6047837 -0.7237995 -1.048424 -0.6477253 -0.8956272 -0.6950841 -0.6779786 -0.8798097
11513 -0.4187982 -0.1683464 -0.426357 -0.0315518 -0.1676176 -0.346323 -0.0590933 -0.1744921 -0.2942001 -0.2660311 -0.3235735 -0.206149 -0.1528775 -0.1980394 -0.1197134 -0.4187982 -0.1683464 -0.426357 -0.0315518 -0.1676176 -0.346323 -0.0590933 -0.1744921 -0.2942001 -0.2660311 -0.3235735 -0.206149 -0.1528775 -0.1980394 -0.1197134
11517 1.03613335 1.23894902 1.20860657 1.24367268 1.25153266 1.25318649 1.34780847 1.22210841 1.16176529 1.2645014 1.27865655 1.31407103 1.16490751 1.10783138 1.28973019 1.03613335 1.23894902 1.20860657 1.24367268 1.25153266 1.25318649 1.34780847 1.22210841 1.16176529 1.2645014 1.27865655 1.31407103 1.16490751 1.10783138 1.28973019
11518 0.29363825 0.33883061 0.39634419 0.5086262 0.32125385 0.43082182 0.50558976 0.35678031 0.2704403 0.38098122 0.50471413 0.4296325 0.31224595 0.45709158 0.36658073 0.29363825 0.33883061 0.39634419 0.5086262 0.32125385 0.43082182 0.50558976 0.35678031 0.2704403 0.38098122 0.50471413 0.4296325 0.31224595 0.45709158 0.36658073
11520 0.11848327 -0.0456757 0.04210986 0.23398065 0.20023763 0.10243283 0.25284354 0.12898226 0.17826053 0.15574234 0.12186521 0.247243 0.14221945 0.06673128 0.20163219 0.11848327 -0.0456757 0.04210986 0.23398065 0.20023763 0.10243283 0.25284354 0.12898226 0.17826053 0.15574234 0.12186521 0.247243 0.14221945 0.06673128 0.20163219
11532 -0.7750243 -0.8598381 -0.8777668 -0.9719656 -1.0286529 -0.9999953 -1.1184588 -1.0173048 -1.1034328 -0.8720625 -1.0781201 -1.0374974 -1.0831445 -1.1043269 -1.0088291 -0.7750243 -0.8598381 -0.8777668 -0.9719656 -1.0286529 -0.9999953 -1.1184588 -1.0173048 -1.1034328 -0.8720625 -1.0781201 -1.0374974 -1.0831445 -1.1043269 -1.0088291
11534 -0.83547435 -0.8503235 -0.7959331 -0.73010105 -0.68124184 -0.90470105 -0.8113511 -0.7771081 -0.8510526 -0.8316405 -0.89731525 -0.91241225 -1.0319304 -0.7313464 -0.7087519 -0.83547435 -0.8503235 -0.7959331 -0.73010105 -0.68124184 -0.90470105 -0.8113511 -0.7771081 -0.8510526 -0.8316405 -0.89731525 -0.91241225 -1.0319304 -0.7313464 -0.7087519
11535 0.27626466 0.0733513 0.184135693 0.21845251 0.181427323 0.18087942 0.292345203 0.253795727 0.35760756 0.237378863 0.262260537 0.246301653 0.308511433 0.3269881 0.172416907 0.27626466 0.0733513 0.184135693 0.21845251 0.181427323 0.18087942 0.292345203 0.253795727 0.35760756 0.237378863 0.262260537 0.246301653 0.308511433 0.3269881 0.172416907
11539 -0.0912853 0.04775013 0.00294968 -0.1024417 0.1218557 -0.3055146 -0.1071733 -0.0657458 -0.1188347 0.01355606 -0.2571044 -0.0388746 0.02118843 -0.1156216 0.02828328 -0.0912853 0.04775013 0.00294968 -0.1024417 0.1218557 -0.3055146 -0.1071733 -0.0657458 -0.1188347 0.01355606 -0.2571044 -0.0388746 0.02118843 -0.1156216 0.02828328
11545 -0.3382202 -0.5649714 -0.6687812 -0.5608473 -0.5440658 -0.683433 -0.5996455 -0.4633589 -0.7667826 -0.5818521 -0.7751565 -0.7662787 -0.5126896 -0.7893012 -0.5821238 -0.3382202 -0.5649714 -0.6687812 -0.5608473 -0.5440658 -0.683433 -0.5996455 -0.4633589 -0.7667826 -0.5818521 -0.7751565 -0.7662787 -0.5126896 -0.7893012 -0.5821238
11546 -0.0690672 -0.3580125 -0.2849502 0.00130349 -0.2413102 0.00937226 0.07862181 -0.1277506 -0.1136014 -0.2428863 0.0431213 0.01085752 -0.1942773 -0.3993088 -0.0022408 -0.0690672 -0.3580125 -0.2849502 0.00130349 -0.2413102 0.00937226 0.07862181 -0.1277506 -0.1136014 -0.2428863 0.0431213 0.01085752 -0.1942773 -0.3993088 -0.0022408
11555 0.4145794 0.58505133 0.43954349 0.6040959 0.50864635 0.54605239 0.73470566 0.59659684 0.48719971 0.47646266 0.69658995 0.70811905 0.38187318 0.47549302 0.56778681 0.4145794 0.58505133 0.43954349 0.6040959 0.50864635 0.54605239 0.73470566 0.59659684 0.48719971 0.47646266 0.69658995 0.70811905 0.38187318 0.47549302 0.56778681
11566 0.30416433 0.17731537 0.36199229 0.46574815 0.25274748 0.11282516 0.18439035 0.23879873 0.26410977 0.46755998 0.24448057 0.32586376 0.16623717 0.22277193 0.35010605 0.30416433 0.17731537 0.36199229 0.46574815 0.25274748 0.11282516 0.18439035 0.23879873 0.26410977 0.46755998 0.24448057 0.32586376 0.16623717 0.22277193 0.35010605
11568 -0.8036997 -0.8350304 -0.8315135 -0.6983527 -0.8527267 -0.687708 -0.5824768 -0.6376242 -0.5616768 -0.7191927 -0.5669229 -0.7046966 -0.7074911 -0.6817355 -0.6361662 -0.8036997 -0.8350304 -0.8315135 -0.6983527 -0.8527267 -0.687708 -0.5824768 -0.6376242 -0.5616768 -0.7191927 -0.5669229 -0.7046966 -0.7074911 -0.6817355 -0.6361662
11569 -0.821825283 -0.82961454 -1.1345891 -1.082207403 -0.85312244 -0.77531845 -0.87904215 -0.64509433 -0.88091806 -1.017992033 -0.905881287 -0.861773673 -1.463277557 -0.86125293 -1.130432007 -0.821825283 -0.82961454 -1.1345891 -1.082207403 -0.85312244 -0.77531845 -0.87904215 -0.64509433 -0.88091806 -1.017992033 -0.905881287 -0.861773673 -1.463277557 -0.86125293 -1.130432007
11593 -0.1241331 -0.3752209 -0.2638419 -0.3326512 -0.2871309 -0.3943456 -0.4975094 -0.4429198 -0.3453866 -0.0637071 -0.4357372 -0.4323124 -0.316498 -0.3047262 -0.4633185 -0.1241331 -0.3752209 -0.2638419 -0.3326512 -0.2871309 -0.3943456 -0.4975094 -0.4429198 -0.3453866 -0.0637071 -0.4357372 -0.4323124 -0.316498 -0.3047262 -0.4633185
11602 1.39550396 1.258774 1.35705117 1.54896299 1.54571288 1.49934314 1.01799818 1.12147217 1.3936627 1.65848265 1.27519992 1.17278575 1.02773645 1.23091669 1.15901494 1.39550396 1.258774 1.35705117 1.54896299 1.54571288 1.49934314 1.01799818 1.12147217 1.3936627 1.65848265 1.27519992 1.17278575 1.02773645 1.23091669 1.15901494
11603 0.37407093 0.41457627 0.51875175 0.26259301 0.50454396 0.28234744 0.44043021 0.32418022 0.38027248 0.46091621 0.1844747 0.37435988 0.56063229 0.39529536 0.49276174 0.37407093 0.41457627 0.51875175 0.26259301 0.50454396 0.28234744 0.44043021 0.32418022 0.38027248 0.46091621 0.1844747 0.37435988 0.56063229 0.39529536 0.49276174
11605 -0.6642689 -0.5782868 -0.8016009 -0.4337389 -0.618763 -0.4335184 -0.6166235 -0.5422379 -0.8464649 -0.7680843 -0.7798651 -0.6701001 -0.6444522 -0.7663275 -0.6303738 -0.6642689 -0.5782868 -0.8016009 -0.4337389 -0.618763 -0.4335184 -0.6166235 -0.5422379 -0.8464649 -0.7680843 -0.7798651 -0.6701001 -0.6444522 -0.7663275 -0.6303738
11606 0.34370642 0.33375732 0.51637878 0.26781024 0.1636924 0.33325465 0.26392172 0.25685552 0.28454708 0.42277875 0.37902155 0.30724038 0.36327866 0.44770024 0.30210039 0.34370642 0.33375732 0.51637878 0.26781024 0.1636924 0.33325465 0.26392172 0.25685552 0.28454708 0.42277875 0.37902155 0.30724038 0.36327866 0.44770024 0.30210039
11609 0.63333788 0.91015176 0.7309055 0.52856383 0.98597616 0.23429825 0.7089042 0.79405761 0.63137176 0.57691489 0.4724266 0.67116475 0.88703496 0.66534986 0.81976984 0.63333788 0.91015176 0.7309055 0.52856383 0.98597616 0.23429825 0.7089042 0.79405761 0.63137176 0.57691489 0.4724266 0.67116475 0.88703496 0.66534986 0.81976984
11610 0.992912095 1.031400425 1.02371291 1.175746835 0.8713174 1.145044615 1.030346915 1.010869665 1.04840483 0.98068583 1.07195551 1.02216378 0.94450459 1.16444747 1.013146645 0.992912095 1.031400425 1.02371291 1.175746835 0.8713174 1.145044615 1.030346915 1.010869665 1.04840483 0.98068583 1.07195551 1.02216378 0.94450459 1.16444747 1.013146645
11630 -0.56889636 -0.39792351 -0.3212055 -0.30374163 -0.544371805 -0.292860415 -0.41285119 -0.484171335 -0.354383075 -0.34426041 -0.28305701 -0.42850496 -0.49116425 -0.334213525 -0.426438795 -0.56889636 -0.39792351 -0.3212055 -0.30374163 -0.544371805 -0.292860415 -0.41285119 -0.484171335 -0.354383075 -0.34426041 -0.28305701 -0.42850496 -0.49116425 -0.334213525 -0.426438795
11632 0.99053813 0.71481884 0.93629211 0.80896534 0.83490601 0.72892552 0.73298076 0.62154242 0.67521658 0.68910814 0.63667629 0.8451666 0.73939253 0.72635318 0.67601049 0.99053813 0.71481884 0.93629211 0.80896534 0.83490601 0.72892552 0.73298076 0.62154242 0.67521658 0.68910814 0.63667629 0.8451666 0.73939253 0.72635318 0.67601049
11637 0.444955455 0.31329105 0.290029255 0.511376865 0.564983595 0.479771525 0.265314535 0.201034855 0.459324985 0.513535175 0.394792635 0.376380475 0.23745132 0.377153045 0.36407997 0.444955455 0.31329105 0.290029255 0.511376865 0.564983595 0.479771525 0.265314535 0.201034855 0.459324985 0.513535175 0.394792635 0.376380475 0.23745132 0.377153045 0.36407997
11639 0.724909857 0.723470247 0.758757613 0.738430823 0.7782646 0.762965803 0.815087667 0.807857023 0.789101823 0.620429177 0.77944795 0.80491253 0.86908502 0.794001853 0.795906077 0.724909857 0.723470247 0.758757613 0.738430823 0.7782646 0.762965803 0.815087667 0.807857023 0.789101823 0.620429177 0.77944795 0.80491253 0.86908502 0.794001853 0.795906077
11640 0.56894153 0.49161736 0.3346345 0.33985264 0.52585221 0.30538687 0.22571821 0.32720506 0.53985175 0.4822978 0.29394212 0.29722283 0.52333025 0.40595936 0.36854405 0.56894153 0.49161736 0.3346345 0.33985264 0.52585221 0.30538687 0.22571821 0.32720506 0.53985175 0.4822978 0.29394212 0.29722283 0.52333025 0.40595936 0.36854405
11647 -0.0446111 -0.1849406 -0.1927892 -0.0330874 0.05634768 -0.062444 -0.2158007 0.0044696 -0.0003858 -0.1646424 -0.1932458 -0.1911729 -0.0185687 -0.0200167 -0.095485 -0.0446111 -0.1849406 -0.1927892 -0.0330874 0.05634768 -0.062444 -0.2158007 0.0044696 -0.0003858 -0.1646424 -0.1932458 -0.1911729 -0.0185687 -0.0200167 -0.095485
