Gene	AdFA2a	AdFA2b	AdFA2c	AdFA2d	AdFA2e	AdFA3a	AdFA3b	AdFA3c	AdFA3d	AdFA3e	AdFA4a	AdFA4b	AdFA4c	AdFA4d	AdFA4e	AdMA2a	AdMA2b	AdMA2c	AdMA2d	AdMA2e	AdMA3a	AdMA3b	AdMA3c	AdMA3d	AdMA3e	AdMA4a	AdMA4b	AdMA4c	AdMA4d	AdMA4e
11504 -0.114488 0.32034777 -0.1257033 0.23420104 0.16648708 -0.0812631 0.26961409 0.18211119 0.25244578 0.23228014 0.22561825 0.03770278 0.28154355 0.08719058 0.04694755 0.40862899 0.07526782 0.27968077 0.36596682 0.36298671 0.32940968 0.4387205 0.2474083 0.48383147 0.26913737 -0.3283523 0.18360335 0.26210168 0.40378482 0.18105878
11513 -0.4338107 -0.3669149 -0.3166529 -0.1743784 -0.197282 -0.312135 -0.5117415 -0.5021754 -0.2596991 -0.4170426 -0.0598603 -0.3075743 -0.4965126 -0.0194124 0.07331118 -0.2172442 -0.1761554 -0.2040312 -0.6713565 -0.3968947 -0.0314626 -0.4870797 -0.2223293 0.07050069 -0.1960018 -0.4071333 -0.0067572 -0.4519161 -0.4006124 -0.1436337
11517 1.08035923 1.2432776 1.24353814 1.42128133 0.98156064 0.99037373 1.0402781 1.13597644 1.18108784 1.23955114 0.9786615 1.06999468 1.14313655 1.28743478 1.07623622 1.24420497 1.10907354 1.43324819 1.24063664 1.22263054 1.1008399 1.36503721 1.08850251 1.2841316 1.30569057 1.0013829 1.12003288 0.94505028 0.96879842 1.42336182
11518 0.33693223 0.25545074 0.45981752 0.54144754 0.42877347 0.36641735 0.27842005 0.31307124 0.32368142 0.43856179 0.40577264 0.40424599 0.24883942 0.4150673 0.4099087 0.2991647 0.44770204 0.55041985 0.49644626 0.45324109 0.58807741 0.21318109 0.58199141 0.41479921 0.58883164 0.51313223 0.27342391 0.27356764 0.26717102 0.38602637
11520 0.02811876 0.02392129 0.20311104 0.11730331 -0.1459487 0.07841576 0.05397284 0.03011007 0.07203187 0.07917175 -0.0760586 0.14387133 -0.1199434 -0.0110945 -0.0489117 -0.4070913 0.1083877 -0.1232649 -0.1693609 0.03752253 0.1468651 -0.1514807 0.09430799 0.10189834 0.18450253 -0.0486449 0.2156656 0.01848614 -0.1266749 -0.1134528
11532 -0.4536581 -0.5438929 -0.3140821 -0.5072307 -0.9719155 -0.3694583 -0.262813 -0.3652497 -0.9084987 -0.3806919 -0.1698774 0.01041988 -0.4389405 -0.7672336 -0.4039324 -1.5467026 -0.7716531 -1.1904831 -1.0201893 -0.7036039 -0.9452434 -0.9211156 -0.7182816 -0.7356974 -0.7905023 -0.9037098 -0.5862852 -0.3446998 -0.4449887 -0.9097333
11534 -1.44939995 -1.0668917 -0.80735545 -0.6887699 -0.53382715 -2.1250258 -0.8925778 -0.9624222 -0.7920267 -0.7623703 -0.68520445 -0.9087074 -1.5425048 -0.57336115 -0.80845645 -0.83963035 -0.811796 -0.78113995 -0.88105745 -0.7771429 -0.7807446 -0.7592408 -1.5997768 -0.654313 -0.9590656 -0.879677 -1.380061 -1.55111585 -1.5479402 -0.49771345
11535 0.839782143 1.084174433 0.72410935 0.808221333 0.88693491 0.899760187 0.92408423 0.898960713 0.85750541 0.862730613 0.89154894 0.79070453 0.962467187 0.796090917 0.68715722 1.04230331 0.910210367 0.889081497 0.91751655 1.020508557 0.908643437 1.046578687 0.96740775 0.95583443 0.902425457 0.516050697 0.762306917 1.04754744 1.05208444 0.910278457
11539 -0.4259711 -0.2684313 -0.4458483 -0.2946178 -0.6154458 0.02937572 -0.2490917 -0.1254245 -0.5503474 -0.3317332 -0.1768278 -0.0959753 -0.3623373 -0.8540782 -0.4084014 -0.4131728 -0.2293234 -0.2220462 -0.545315 -0.6515516 -1.2721524 -0.344713 -0.270301 -0.6015483 -0.5037694 -0.4167942 -0.2340583 -0.6645488 -0.5630694 -0.6235917
11545 -1.125211 -0.8979835 -0.9872888 -0.9201295 -1.0022085 -0.9768089 -0.5397253 -1.0548166 -1.0240503 -1.0663228 -0.992657 -0.8604097 -0.9696006 -1.0876047 -0.8413355 -0.8824132 -1.3959939 -0.8436688 -0.9459777 -0.9624361 -1.1378016 -1.5972883 -1.4175779 -1.3748312 -0.9977231 -1.2419212 -0.8117821 -1.1528618 -1.2087442 -1.1871616
11546 0.15756458 0.17314439 0.44414434 0.17008875 0.28797848 0.00730776 0.17823076 0.1442069 0.1738835 0.1906641 -0.0464075 0.14987434 0.03673076 0.18126603 -0.1413986 0.16684398 -0.0236191 -0.1825037 0.21143459 0.29083674 0.15261542 0.03984742 0.08383945 0.22018068 0.28587056 0.17863407 0.123053 0.33859923 0.27394623 0.19656562
11555 0.45731107 0.72417497 0.68407724 0.62211145 0.73917229 0.45742364 0.62050937 0.65487957 0.70636263 0.62673717 0.60120242 0.7152771 0.49078271 0.59564299 0.45554107 0.55989004 0.55844535 0.76006482 0.56300204 0.69532128 0.71302019 0.7523645 0.51913374 0.6962643 0.81450363 0.40400198 0.63815852 0.81559481 0.59258461 0.56388007
11566 -0.182138 -0.1432744 -0.18091 -0.7065742 -0.8059366 -0.1045119 -0.4493426 -0.2192933 -0.3578518 -0.1728774 -0.3180954 -0.1269532 -0.2256457 -0.3714859 -0.3896211 -0.6263019 -0.2802315 -0.1004405 -0.166345 -0.6973501 -0.4525412 -0.2661332 -0.4806111 -0.2716436 -0.6312686 -0.5331477 -0.3559541 -0.4156458 -0.4443555 -0.2992602
11568 -0.3985245 -0.6117878 -0.3433591 -0.6035781 -0.401859 -0.5658334 -0.4379786 -0.5849037 -0.3615136 -0.6416203 -0.5998298 -0.3658069 -0.3532347 -0.6542081 -0.6309713 -0.7513675 -0.6199272 -0.3952609 -0.6204504 -0.5603237 -0.6965675 -0.6952121 -0.7196331 -0.487193 -0.4380614 -0.8119575 -0.4344293 -0.6232787 -0.5761893 -0.6237633
11569 -1.39851069 -0.82113409 -0.84344121 -1.30672862 -0.638524267 -0.970633043 -0.851731137 -0.856660497 -0.750912027 -1.065766363 -0.544583903 -0.804148487 -0.80729611 -0.804551007 -0.985958527 -0.430977417 -1.09965405 -0.691661303 -0.933522467 -0.91396017 -0.952683133 -0.580024337 -0.678170853 -0.08910997 -0.527733967 -0.843483237 -0.800416127 -0.853707423 -0.286699713 -0.387445473
11593 -0.6929559 -0.8816711 -0.835434 -0.8913358 -0.9191597 -0.7536004 -0.6210821 -0.6525991 -0.7770678 -0.8156855 -0.7147238 -0.3861904 -0.8498167 -0.9736096 -0.8477091 -0.9437029 -0.79761 -0.8054307 -0.8156467 -0.8766444 -0.9216417 -0.7532048 -0.711402 -0.9915734 -1.0083976 -0.8715578 -0.4650098 -0.782426 -0.7321214 -0.3696305
11602 1.34273144 0.39176094 1.34287645 1.43286196 1.05742514 0.47096632 0.5938069 0.55134362 1.01805385 1.16110815 0.52786261 0.62813841 1.09641868 1.27688757 0.86495529 0.24254952 0.9405357 1.25261602 1.03746644 1.0248757 0.71036229 0.30897718 0.52537229 0.75011674 0.87692862 1.53635022 0.79959353 0.81356033 0.36994307 0.82331716
11603 0.02841378 0.12067689 0.20063174 0.1248762 0.20851616 0.28226154 0.06273314 0.27459926 0.28317484 0.21339453 0.53686572 0.39237126 0.20480388 0.33957498 0.47979538 0.32742995 0.34751247 0.16263034 0.01751061 0.11313551 -0.0446387 0.04666756 0.06002437 -0.1212993 0.13354383 0.20705148 0.48513148 0.25364284 -0.0777341 0.01542194
11605 -0.28966 -0.2861767 -0.1724241 -0.2301569 -0.2239659 -0.3310083 -0.3405241 -0.275194 -0.2041199 -0.2045664 -0.3895725 -0.3302178 -0.1236738 -0.1301324 -0.1710372 0.0472728 -0.349429 -0.4191502 -0.0843761 -0.0964003 -0.4813422 -0.4468686 -0.3750107 -0.1797592 -0.0895786 0.34279974 -0.3761687 -0.3227103 -0.3669807 -0.1692945
11606 0.07325303 0.02847754 0.08802665 0.06831271 -0.0265034 0.18885354 0.17142531 0.16686737 0.24584539 0.21464789 0.24935421 0.04662798 -0.1585056 0.2470852 0.14773409 -0.1637454 0.08042812 0.21664515 0.08248773 0.00605147 0.15483106 -0.1476403 -0.1025663 -0.0010712 0.13839363 -0.0354436 0.07125362 0.06490556 -0.0649797 0.10068203
11609 0.06472655 0.17656121 0.0381429 0.20036335 0.08607757 0.29385287 0.23119193 0.11796942 0.13898183 0.12138229 0.13474293 0.14998037 0.06634522 0.07286136 0.14680618 -0.1106185 0.20577006 0.25910151 -0.1571756 -0.0725443 -0.0864054 -0.0226479 -0.2010042 -0.1139271 0.06493993 -0.0422324 0.24196622 0.16700448 -0.0440746 0.04133429
11610 1.2542027 1.16394319 1.17876579 1.13360029 1.219439815 1.22950523 1.20499467 1.07833953 1.11271596 1.362452815 1.26107762 1.201946855 1.139457575 1.2043109 1.354213605 1.17956534 1.26841274 1.135885075 1.20244452 1.1079357 1.30723035 1.33452685 1.171803415 1.2029898 1.175514235 1.257649695 1.184085585 1.052381355 1.31032173 1.21050401
