Gene	MsFA2a	MsFA2b	MsFA2c	MsFA2d	MsFA2e	MsFA3a	MsFA3b	MsFA3c	MsFA3d	MsFA3e	MsFA4a	MsFA4b	MsFA4c	MsFA4d	MsFA4e	MsMA2a	MsMA2b	MsMA2c	MsMA2d	MsMA2e	MsMA3a	MsMA3b	MsMA3c	MsMA3d	MsMA3e	MsMA4a	MsMA4b	MsMA4c	MsMA4d	MsMA4e
11534 -0.35798022 -0.421828065 -0.524202555 -0.482121955 -0.3846424 -0.379406315 -0.46157823 -0.367208055 -0.41325765 -0.407253395 -0.39642871 -0.5282922 -0.53428425 -0.452747365 -0.357619995 -0.459743 -0.434892855 -0.59383834 -0.41142208 -0.351941675 -0.4255021 -0.40610666 -0.37585008 -0.504524525 -0.45509627 -0.443460245 -0.51048825 -0.38816831 -0.47230518 -0.45151755
11535 -0.47856122 -0.40042011 -0.480500943 -0.45372583 -0.460800957 -0.528064153 -0.407384137 -0.535949867 -0.447139817 -0.416968553 -0.367674073 -0.270698653 -0.277816543 -0.457633093 -0.47025402 -0.469005093 -0.412313933 -0.34057046 -0.453980763 -0.461774647 -0.395825437 -0.49668302 -0.401254353 -0.13144526 -0.364446047 -0.38101339 -0.40688723 -0.447048757 -0.364430253 -0.464596393
11539 0.57409005 0.64439067 0.62553956 0.50515719 0.61047229 0.62127662 0.51666694 0.76129787 0.59754933 0.62512915 0.60894809 0.60418066 0.55396616 0.44831225 0.56686883 0.54159682 0.71212293 0.65063043 0.68716045 0.67332477 0.72125446 0.43599449 0.48341567 0.33360102 0.62567981 0.67519294 0.69255978 0.65401644 0.61393416 0.58332777
11545 0.08476461 -0.0624424 -0.2346405 -0.0517121 0.13042418 -0.1255389 0.05518444 -0.0612946 0.08125819 -0.0859715 0.06580408 -0.1749012 -0.200952 -0.0778731 5.18e-05 -0.0717932 -0.0449028 -0.2127326 0.00151457 0.0030153 -0.2886375 0.02105794 -0.0781008 -0.0770047 -0.002132 -0.3534604 -0.1817205 -0.2229444 0.06244088 0.01554801
11546 -0.5645153 -0.0855067 -0.3447794 -0.4059554 -0.5433564 -0.645877 -0.4019972 -0.4494237 -0.2870871 -0.3409148 -0.3619791 0.08940301 -0.4451509 -0.2077171 -0.4649178 -0.3401336 -0.4115005 -0.0691198 -0.3833669 -0.478989 -0.2757471 -0.5150557 -0.2892559 -0.0036602 -0.3136367 -0.3578431 -0.3857223 -0.218207 -0.1291903 -0.2460896
11555 0.04820479 0.13641548 0.10961203 -0.0755191 -0.0053717 -0.2877514 0.08493005 -0.1544489 -0.0559884 0.12878322 -0.013023 0.26786123 0.20079072 -0.0396911 -0.0456257 0.10997882 0.02936672 0.21540195 0.04400454 -0.1387122 -0.0433055 -0.1504174 0.1386902 0.17485959 -0.0121254 -0.0219612 0.07988389 0.22083371 0.17593492 -0.0784335
11566 0.0842687 -0.1441927 0.20175979 0.09678514 -0.2843454 0.30061181 0.07807621 0.25090283 -0.0084211 0.06138163 0.04655905 -0.2214417 0.04034012 0.17472555 -0.0161449 -0.2438904 0.15804595 -0.0875516 0.07036672 0.18669294 -0.0142988 0.02765003 0.12197944 0.10548248 0.20111988 0.2200544 0.02900631 0.12246142 0.01322096 0.04707607
11568 -1.3233636 -0.9744966 -1.0676762 -1.2334147 -1.1817308 -1.4074131 -1.2817369 -1.4149216 -1.1494571 -1.1328667 -1.1253753 -0.7133283 -0.8810255 -1.0354242 -1.0527761 -1.2278133 -0.9745027 -0.8308381 -0.9204428 -1.2873535 -1.0114653 -1.3197397 -1.1420856 -0.8415987 -1.2084742 -1.0219455 -0.9214924 -0.9664944 -0.94241 -0.9453229
11569 -0.806881267 -0.881358833 -1.1127735 -0.731466167 -0.6718881 -0.915914033 -0.737035133 -0.927564867 -0.9450999 -0.931349367 -0.8046889 -0.789470507 -0.64017663 -0.9710969 -0.862946167 -0.791540267 -0.835990633 -0.7373578 -0.874368367 -1.043714567 -0.818557 -0.784394733 -0.845288 -0.812482533 -1.282385567 -0.8457233 -0.762188867 -0.8793731 -1.010421433 -0.755576967
11593 -0.6300904 -0.2421721 -0.4289918 -0.4979122 -0.2845487 -0.6442077 -0.3466131 -0.4690316 -0.3359028 -0.268277 -0.3323074 -0.3076768 -0.243586 -0.6342297 -0.4266939 -0.3884833 -0.2259163 -0.231446 -0.4565591 -0.5445709 -0.4246164 -0.4351714 -0.5103885 -0.4658285 -0.5296756 -0.4144342 -0.2883533 -0.4921849 -0.3021959 -0.299941
