Gene	GSM847797	GSM847796	GSM847795	GSM847800	GSM847799	GSM847798	GSM847801	GSM847803	GSM847802	GSM847806	GSM847805	GSM847804	GSM847807	GSM847809	GSM847808	GSM847812	GSM847810	GSM847811
11481	4.4961665065	4.411822485	4.5344961425	4.510346014	4.6167986835	4.3761728895	4.35413813	4.4945281995	4.480428583	4.6206459145	4.1047929075	4.6466418885	4.5556323175	4.658083907	4.6332961645	4.5007898765	4.51699912	4.6332748535
11487	6.6685494105	6.136439929	6.5700220075	6.572773358	6.421098845	6.0171010285	6.0587279615	6.8280764615	6.579816987	6.6502787385	6.6688093005	6.863296386	6.606079318	7.112523364	6.3839302955	7.2093512095	7.4685916425	6.486794351
11488	6.079779812	5.51938952	5.85827891	5.845390233	5.610570623	6.409740016	5.886462398	5.39291779	5.798708384	5.315252727	5.431230986	6.076945312	6.166548208	5.02152293	5.274229564	7.046829871	7.245446678	6.336039815
11496	4.140914505	4.251760838	4.237373368	4.120666119	4.053786879	4.076332221	3.925096541	4.068496767	4.195771863	4.222006522	4.240928938	4.146238841	3.976656946	4.086716077	4.415137816	4.277441158	3.684564526	4.170117542
11515	7.447685646	7.37501126033333	6.69767437466667	7.362821981	7.32513163033333	6.540556243	7.21010363966667	6.230325488	7.102214476	6.43275054133333	7.15521641833333	6.66378163566667	6.518648224	5.909880313	6.406473648	6.27253134366667	6.68919135666667	7.24813985166667
11516	2.715491831	2.572946622	2.499746487	2.549566232	2.63748098	2.60979354	2.59768458	2.478953484	2.659100075	2.767918452	2.577817122	2.668964088	2.647364225	2.500508437	2.714389514	2.412610569	2.5103034	2.591057892
11519	3.59225698333333	3.66051506833333	3.641358095	3.50433180333333	3.63982263766667	3.627453551	3.68752698	3.68235603533333	3.61536523	3.83555910333333	3.58650655166667	3.61974025033333	3.68975360033333	3.76012200233333	3.862316689	3.49452615033333	3.67263149	3.63191432933333
11532	3.706246245	3.464986188	3.817319671	3.761783304	3.677985516	3.884886582	3.656085005	3.987654623	3.75622692	3.922207307	3.362404462	3.833036239	3.506424775	4.017487441	3.691983186	3.741374138	3.612506595	3.463193147
11534	5.734580198	5.69683157566667	5.52520689066667	5.50675800866667	5.58584175933333	5.59473913	5.49204038833333	5.52692227633333	5.57238035566667	5.524494716	5.51802842933333	5.55502046733333	5.489120087	5.45372597966667	5.64455936	5.62916223333333	5.60044228966667	5.48723758033333
11542	2.833918324	2.976023113	2.915757143	2.965300426	2.780223639	3.296909479	2.94197561	2.69674987	2.883943248	2.859665925	2.93310191	2.881108595	2.786979664	2.927696919	3.021026208	2.870447942	2.830698868	3.064967204
