Gene	GSM328658	GSM328668	GSM328678	GSM328660	GSM328670	GSM328672	GSM328657
36	6.845835	7.076835	6.661825	6.708505	6.495645	6.55331	6.792175
37	10.2176	8.6928	8.54241	8.62544	8.69601	8.84963	9.02212
38	5.62032	5.69455	5.52827	5.64081666666667	5.46194333333333	5.39090333333333	5.29859333333333
39	8.44476	10.3771	10.24	10.1202	9.77501	10.1449	9.82904
40	4.00206	3.82247	3.50001	3.94283	3.78478	3.56156	3.61648
41	4.49845	4.589245	4.652255	4.45462	4.348265	4.67211	4.522045
43	4.174825	3.761195	3.88601	3.95325	3.803355	3.704525	4.039155
47	8.62944666666667	9.41871	9.28032333333333	9.37425333333333	9.13581666666667	9.24605333333333	9.10788333333333
48	5.678095	5.53342	5.333375	4.95485	5.330915	5.527515	6.151955
49	4.31522	4.08889	4.12471	3.94699	4.17976	4.33153	3.94346
50	7.379155	7.77836	7.66713	7.781165	7.37836	7.53915	7.6064
51	5.51485	5.424272	5.423488	5.595414	5.334548	5.383038	5.595952
52	7.8522575	8.1960525	8.253025	8.2758	7.92617	8.1765625	7.8839425
53	7.48835	6.35952	6.75905	6.85193	6.82626	7.33488	6.90188
54	7.63637	7.72821	6.65703	6.1416	6.33286	6.92848	7.49053
55	3.42417666666667	3.20634333333333	5.38141333333333	3.56148333333333	4.44429	4.17603	3.66688666666667
56	4.46712	4.52737333333333	4.497725	4.42422833333333	4.41484333333333	4.49764	4.30502
58	3.31076	3.46892	3.41167	3.61131	3.40114	3.42685	3.25219
59	5.25005666666667	4.93131666666667	4.8761	4.79580666666667	4.85593	4.71652666666667	5.46521
60	13.7699	14.0485666666667	14.0033	14.1097	13.9393333333333	13.9852333333333	14.0017333333333
69	7.69262	8.74808	8.44237	8.64404	8.4425	8.2829	7.94278
70	5.77011	5.87678	5.78066	6.03501	5.80148	5.86359	5.637
71	13.3686666666667	13.5965555555556	13.5500666666667	13.6296111111111	13.4783	13.4671444444444	13.4152222222222
72	4.58781	4.75909	4.73852	4.736845	4.72918	4.71133	4.515665
81	8.90803	8.92657	8.97102	9.23811	9.0023	9.18273	9.03294
86	7.14033	9.14997	8.90029	9.25167	8.84595	8.96424	8.41527
87	6.5089675	5.587045	6.953795	5.6160775	6.6560975	5.815355	5.944585
88	3.751175	3.517115	3.48137	3.5674	3.511785	3.421385	3.4606475
89	4.5961	4.63658	4.71613	4.72093	4.5163	4.49327	4.39061
90	3.40468	3.5277	3.95133	3.57077	3.20479	3.52683	3.29161
91	4.581025	4.29399	4.39733	4.297525	4.02756333333333	4.426425	4.09126166666667
92	5.503935	5.302545	5.297665	4.75766	5.130355	4.7348	5.24805
93	4.91777666666667	4.58523	4.49530333333333	4.57869333333333	4.6831	4.51114	4.57331
94	3.83207	4.219805	4.156245	4.10811	4.05723	3.885715	3.9067
