Gene	SpFA2a	SpFA2b	SpFA2c	SpFA2d	SpFA2e	SpFA3a	SpFA3b	SpFA3c	SpFA3d	SpFA3e	SpFA4a	SpFA4b	SpFA4c	SpFA4d	SpFA4e	SpMA2a	SpMA2b	SpMA2c	SpMA2d	SpMA2e	SpMA3a	SpMA3b	SpMA3c	SpMA3d	SpMA3e	SpMA4a	SpMA4b	SpMA4c	SpMA4d	SpMA4e
11569 -1.842830393 -1.183012883 -0.987991783 -1.151819477 -0.971729623 -0.773384303 -0.976301843 -1.0725253 -0.96355728 -0.64502457 -0.545730307 -0.7034328 -0.695364303 -0.659823167 -0.892346853 -1.29977525 -0.68328061 -0.952006197 -0.871156693 -0.19098768 -0.59799899 -0.803058297 -1.1175771 -0.751738293 -0.836575137 -0.601623103 -0.666467297 -0.938669753 -0.524149823 -0.9930627
11593 -0.0076529 0.25085675 0.18364159 0.1351346 0.04900729 0.24538548 0.17710419 -0.0359573 0.31328243 0.19783931 0.19556786 0.2744762 0.16085467 0.11157769 0.20487542 0.1480985 0.02677931 0.08191529 0.18560116 -0.6140318 0.17347253 0.27669018 0.07420282 0.21850701 0.27388099 0.14604827 -0.0477556 -0.0519351 0.29905053 0.25026375
11602 1.95701743 2.0035417 2.33070403 2.15211223 1.69505131 1.91922015 1.86145132 1.84574718 2.21147642 2.28861434 2.19532362 1.87354376 1.95735282 1.39183604 1.63516685 1.67701994 2.13943926 2.1031567 2.28572765 0.15650588 2.0856451 2.02235763 1.16964115 1.98207436 2.16570982 1.91120692 1.80574602 2.09575296 2.05487976 1.5875084
11603 0.02815019 0.1096572 0.06631332 0.05121524 0.75413331 0.75118357 0.01565504 -0.0037411 0.21226926 0.74601346 1.0257093 0.72027437 0.75774635 0.20702112 0.04422622 0.19858567 -0.1443446 0.20215878 0.19644336 0.26077066 0.81197756 0.60075146 0.26478823 0.15323845 0.05975298 0.66359301 0.75022196 -0.0708297 0.85985354 -0.0552386
11605 -1.0098896 -0.9060515 -0.9492454 -1.0167887 -0.8813407 -1.0105537 -0.8781331 -0.9016536 -0.7920147 -1.0260565 -1.0380139 -0.9539649 -0.9906984 -0.8793788 -0.840445 -1.0834784 -0.9130136 -0.9955402 -0.9822276 -0.6021196 -0.8731058 -0.8531508 -1.0494218 -1.103572 -0.7352453 -0.8605762 -0.9038944 -0.8304158 -0.8608019 -0.9931073
11606 0.22351092 0.36075647 0.23061547 0.35685405 0.18519814 0.37576134 0.30796907 0.25932424 0.39471521 0.246168 0.33578527 0.27064097 0.2275338 0.14012051 0.39901443 0.23955501 0.24824394 0.32514523 0.3726667 -0.4137083 0.40814378 0.23563728 0.12878673 0.3436706 0.35843725 0.32560354 0.28990155 0.44334092 0.39900358 0.38789112
11609 0.57273731 0.56471482 0.50462598 0.51258326 0.53620092 0.57515234 0.59887336 0.62266236 0.74201753 0.37854298 0.57874144 0.61425155 0.52251151 0.7445715 0.54168223 0.64362424 0.52012511 0.69524639 0.57322609 -0.1914871 0.5763369 0.57367282 0.68975431 0.71756445 0.61947817 0.56154323 0.56277043 0.68838103 0.52008174 0.59930087
11610 1.0444382 1.107953975 1.09020914 1.340101025 1.24459929 1.242413675 1.050224095 1.07548034 1.100868495 1.080272695 1.1089821 1.21746985 1.09515904 1.271494375 1.173376615 1.093806215 1.18298603 1.211648835 1.277188745 1.47628435 1.09256493 1.201839085 1.03321309 1.07291633 1.08263815 1.22880256 1.396600705 1.173185105 1.05200259 1.17608763
11630 -0.6256054 -0.5678258 -0.71504585 -0.7344889 -0.62035705 -0.5241569 -0.7185882 -0.57848345 -0.58728005 -0.57216685 -0.5118728 -0.55605055 -0.6490067 -0.66760535 -0.48031955 -0.60723135 -0.52863025 -0.64919535 -0.53364145 -0.087537485 -0.60016465 -0.55310395 -0.5918336 -0.7240344 -0.80366005 -0.5174801 -0.524803 -0.49014165 -0.6255692 -0.5475099
11632 0.32163793 0.25780768 0.31216299 0.14470379 0.17971198 0.27978284 0.33966769 0.34901591 0.18929032 0.20728971 0.42650803 0.29108383 0.2828926 0.25913844 0.23418846 0.35133725 0.28388026 0.22437601 0.13996683 0.00649535 0.25802622 0.34496941 0.24889271 0.34511282 0.42762006 0.23448747 0.23103202 0.18610258 0.18761874 0.2450094
