Gene	GSM1330631	GSM1330630	GSM1330628	GSM1330629	GSM1330627	GSM1330633	GSM1330632	GSM1330635	GSM1330634	GSM1330636
25193	1.766871173	1.895198339	2.201982272	2.564799132	1.943261777	1.805745145	2.058114897	2.011023874	3.777557845	1.61691204
25202	0.818299061	0.939538893	0.708975689	0.71	0.438484653	0.940001416	0.603875166	0.48811736	0.71	0.769253172
25205	4.252746471	4.331205774	4.305314769	3.739372924	4.077634341	4.327285127	4.153308193	4.732821183	3.948448436	5.033454982
25211	3.373921195	3.989601713	4.546194619	3.406907988	3.969015806	4.144049789	4.799057708	6.289609834	4.801372822	5.36689852
25216	0.335756339	1.063517783	1.438042243	1.488042059	0.648451219	1.187634123	1.415418946	0.190903436	1.077400412	0.811816551
25217	2.178106046	2.122527604	2.6685692395	2.1145498385	2.266977934	2.3476337645	2.312657831	2.805758175	3.0636761945	2.4641598005
25218	2.934069826	2.9073948878	3.0993488218	2.9676955096	2.8413494516	2.968212277	2.8998494666	2.9733050072	2.659924154	3.2226348502
25230	1.89680401666667	2.49782046133333	2.32342778866667	1.66526858933333	2.33184056933333	2.70902115466667	2.643992902	2.64906757633333	1.45824574233333	2.14057994266667
25233	6.435129395	6.479687094	6.65961103	6.566195263	6.51079327	6.684104943	6.449459753	6.874268788	6.177539783	6.593653282
25242	2.7798319965	2.9738233235	3.03035189	1.903988478	2.917503832	2.916060242	2.714476429	3.382045226	2.4591601945	4.201286718
25244	5.874817997	5.836285082	5.957762629	6.340880407	5.989367845	5.981202773	6.09579749	5.60444689	6.458561202	6.599801636
25250	9.39063574	9.541811022	9.688335667	10.29994635	9.411229574	9.892455537	9.895261587	9.335524058	10.8528066	9.318235933
25252	3.74142997	3.955081715	3.823485928	3.11873747	3.624586001	3.689466576	3.634090453	4.080546295	3.149885324	3.757665352
25255	3.717275154	3.834932663	3.871246249	3.293157551	3.801550031	3.85251775	3.646206551	4.09982184	3.107279865	4.277128303
25262	2.148013074	2.5885192	1.811328228	2.060032509	2.508816234	2.675208607	2.622718991	2.430762813	2.207814342	1.278830423
25267	1.034833003	1.196372312	1.319471655	0.516898868	1.100266508	1.264911519	1.082928817	1.479823084	0.30886499	1.325665705
25271	4.778280512	4.852531835	5.048754938	4.011291913	4.875885135	4.797633495	4.462709499	5.144247363	1.188712005	4.818292323
25274	3.424409524	3.620522376	3.637071598	3.9268816	3.554186304	3.461842962	3.633191088	3.120883455	4.525003895	3.35071297
25277	3.8913647295	3.7683258025	4.157978013	4.654991576	3.8106073235	4.0717890545	4.2882486215	3.8221492325	4.617450437	4.2469576725
25278	9.090628615	8.968344415	9.29047339	9.935923626	9.158434058	9.115177652	9.184102991	8.730209167	10.94318488	9.091382216
25284	2.440661244	2.296027898	2.296154403	2.640975926	2.265936255	2.422163406	2.52972152	2.297882669	2.570033338	2.143699424
25289	2.407861028	1.999663055	2.10650384	2.198005496	2.061285772	2.026031429	1.890212096	1.802626839	1.215164776	1.971582905
25291	1.518722931	2.377553441	1.734494932	1.928085602	1.937935085	2.349531263	2.333001406	2.784597925	2.432461037	1.894308089
25308	2.933459335	2.721900518	2.513043513	3.26520111	2.81315196	3.194902022	3.448826369	3.764397273	4.7062674	3.811544834
25318	4.716809589	4.818174053	4.715305939	4.968213818	4.75541463	4.819214341	4.854317253	4.709421973	5.013565397	4.681473356
25319	10.20531819	10.28372713	10.45246697	10.8920188	10.30866835	10.57665605	10.42765857	10.25649458	10.66346838	10.41645357
25332	1.40238461	1.711239919	1.796983698	2.482812397	1.718702078	1.673803921	2.030087575	1.60435905	3.157601513	1.444462154
