Gene	HFA2a	HFA2b	HFA2c	HFA2d	HFA2e	HFA3a	HFA3b	HFA3c	HFA3d	HFA3e	HFA4a	HFA4b	HFA4c	HFA4d	HFA4e	HMA2a	HMA2b	HMA2c	HMA2d	HMA2e	HMA3a	HMA3b	HMA3c	HMA3d	HMA3e	HMA4b	HMA4c	HMA4d	HMA4e
11517 0.605285 0.70721856 0.29190486 0.69190647 0.62008295 0.64912594 0.80536132 0.79594344 0.66537223 0.59008776 0.54452583 0.86389791 0.63954851 0.63333652 0.6588741 0.82392636 0.82375907 0.55343811 0.65855764 0.65284603 0.52846028 0.61415752 0.5736134 0.6071557 0.5156639 0.70556353 0.66716472 0.58464879 0.56266501
11518 0.47870142 0.29076516 0.66492818 0.59640324 0.51326861 0.32230168 0.32202658 0.40347644 0.59238416 0.44019493 0.31489097 0.51836488 0.37259275 0.53839901 0.29452854 0.50085604 0.29754011 0.70816794 0.47959097 0.38606812 0.49030644 0.55130652 0.49834741 0.40829565 0.53401165 0.43498091 0.3842912 0.09725073 0.64681228
11520 -0.9994198 -0.7112677 -0.8716582 -0.6380304 -0.7635542 -0.8217779 -0.4571145 -0.6919744 -0.8710529 -0.7143186 -0.695522 -0.678316 -0.7026208 -0.9631134 -0.6921036 -0.8397777 -0.6196127 -0.9493192 -0.7059803 -0.7564822 -0.6745571 -0.7286891 -0.8705372 -0.7552172 -0.9216018 -0.7309033 -0.7305796 -0.5288274 -0.8433456
11532 0.13860041 0.28847473 -0.0466746 0.11011974 -0.2473912 -0.1873059 0.23160098 0.20651661 -0.2010896 0.09280382 0.29309462 -0.1285376 -0.1511919 -0.1584958 0.03926601 0.36112913 -0.0712848 -0.3715445 0.09564718 -0.1509267 0.1591376 -0.0422569 0.24876022 0.16247043 -0.1117217 -0.1178197 0.14613271 0.10056911 -0.0924091
11534 -0.4839429 -0.492735 -0.3795184 -0.51184775 -0.454472 -0.42509545 -0.3974214 -0.40681285 -0.5005035 -0.45744555 -0.54582695 -0.36683315 -0.35253065 -0.62954475 -0.6160814 -0.45447585 -0.39570132 -0.52779785 -0.51404335 -0.45024295 -0.4394223 -0.36026415 -0.6182735 -0.42798925 -0.27564495 -0.38176065 -0.58657135 -0.43431585 -0.55458935
11535 -0.2906338 -0.05291225 -0.208448783 -0.158131097 -0.136337033 -0.202063053 -0.241376283 -0.167719823 -0.3585858 0.050768147 -0.118461527 -0.00582663 0.002473953 -0.390266433 -0.091757077 -0.093221023 0.10421761 -0.5164582 -0.06741948 -0.079118083 -0.057004623 -0.156921913 -0.285123 0.037422917 -0.6312346 -0.080330147 -0.1172416 -0.13670242 -0.2475105
11539 -0.3226625 -0.228306 0.12969174 -0.0511021 -0.2319268 -0.5139424 -0.2024107 -0.1006994 -0.2677223 -0.1064862 -0.0969224 -0.2871026 -0.3558057 -0.6288127 -0.1517552 -0.0569 0.07180895 -0.2073404 0.29007351 -0.1895634 -0.1399765 -0.3577512 -0.2193364 -0.0714862 -0.5255029 -0.5000742 -0.1727212 -0.2786523 -0.286436
11545 0.94450404 1.12992024 1.08364106 0.83039914 1.12377526 1.07854996 1.06502155 1.00095554 0.64482009 1.15492778 1.08964516 1.13863128 1.08789003 0.82853336 0.93235751 1.08869818 1.18416642 0.70139801 1.00571789 1.22253879 1.15049997 1.14415856 0.97136811 1.09705715 0.70897697 1.18658215 1.00828179 1.22392815 0.77069456
11546 0.52409548 0.3363473 -0.1160531 0.27947124 0.27962252 0.73105299 0.54960011 0.31477209 0.80819332 0.00129519 0.5637873 0.34668041 0.31118239 0.73848676 0.55891644 0.44160541 0.23949736 0.74091378 0.13504636 0.31763926 -0.0991986 0.53944015 0.40567905 0.49205573 1.12095882 0.28852548 0.5907732 0.54860466 0.63205083
11555 -0.1754894 -0.4464376 -0.6786401 -0.0712031 -0.1860145 -0.6089332 -0.1824094 -0.2078701 -0.4689029 -0.207072 -0.3891703 -0.4665468 -0.2754118 -0.3442051 -0.2814814 -0.3962015 -0.323957 -0.6594678 -0.2533385 -0.4252486 -0.2859932 -0.454483 -0.4616861 -0.2605771 -0.6487589 -0.1054589 -0.2461264 -0.2873125 -0.3858401
11566 -0.5248894 -0.9484943 -0.3483836 -0.6427925 -0.7788598 -0.7479741 -0.6932798 -0.6598025 -0.5329554 -0.5583906 -0.7045886 -0.7443077 -0.6268904 -0.6468732 -0.744139 -0.6634677 -0.6494925 -0.3648858 -0.6127839 -0.6969883 -0.4958557 -0.5397859 -0.7242437 -0.8050246 -0.4354437 -0.7062013 -0.9555733 -0.9510799 -0.7748342
11568 -1.2593364 -1.3117962 -1.3858415 -0.9863974 -0.9145679 -1.0665116 -1.8297289 -1.2816787 -1.3606091 -1.1454164 -1.1945918 -1.264136 -1.0738867 -1.1435659 -1.1017512 -1.2554774 -1.2002545 -1.3187565 -1.0650661 -0.9366937 -1.0297898 -1.1209777 -1.2974586 -0.8875197 -1.4689732 -1.0154941 -1.2987588 -1.1902329 -1.2930372
11569 -0.283253123 -0.153837633 -0.353262193 -0.29547182 -0.126070433 -0.128254223 -0.20111099 -0.144588083 -0.37482257 -0.320606483 -0.17326713 -0.214174013 -0.0971902 -0.230345417 -0.306451773 -0.289994573 -0.416456843 -0.144718637 -0.31881331 -0.204987653 0.297647347 -0.300802177 -0.195695537 -0.228911443 -0.203004417 -0.346301743 -0.118596803 -0.163453347 -0.276581007
11593 0.22774106 0.552709 0.40934465 0.38142488 0.40093702 0.40561942 0.34089086 0.31665836 0.36636161 0.1449367 0.50819687 0.26476664 0.43736716 0.06250861 0.45272688 0.41953043 0.40010418 0.26114898 0.27441253 0.47842181 0.28176409 0.3557805 0.38435041 0.32730364 0.37279188 0.25405338 0.44536826 0.27066782 0.44561256
11602 2.27367212 1.84842962 2.06299249 1.14473645 2.08818875 2.38998296 1.72234469 1.69362985 2.47842577 0.52642602 2.12116587 1.34587153 1.80735957 2.13656528 2.14957303 1.98973046 0.89871187 2.87863889 0.98438026 1.6965107 0.9709809 2.24638588 2.03087564 1.73191217 2.89824212 1.5761671 2.1239488 2.09870613 2.26474325
11603 0.97526122 1.0353647 1.04006054 0.87614876 0.7513339 0.91141576 1.08495309 1.00392847 0.90767887 1.11885847 0.93598083 0.90544308 1.10771788 0.79407991 1.0835604 1.12000536 1.10775964 0.83379206 0.96750263 0.97492963 1.02772799 1.05980009 0.93131323 1.18389311 0.85178647 1.07791091 0.94805448 1.18935116 0.94168574
11605 -0.5237927 -0.7931563 -0.6545221 -0.8343133 -0.8176841 -0.7468818 -0.916019 -0.5177054 -0.4327098 -0.9461543 -0.6808859 -0.671981 -0.8482617 -0.6054433 -0.5844313 -0.7014675 -0.9306933 -0.343025 -0.8938857 -0.8123591 -0.7376441 -1.0613688 -0.4777284 -0.8895683 -0.4278987 -0.9094642 -0.8253261 -0.6783794 -0.553777
11606 -0.3961947 -0.2794932 -0.1103218 -0.4584905 -0.3864724 -0.4438985 -0.2408047 -0.3140591 -0.4778983 -0.4687341 -0.4294468 -0.3756659 -0.2493751 -0.4174771 -0.3522489 -0.3454139 -0.410631 -0.3197851 -0.4862884 -0.3480128 -0.3642965 -0.4146107 -0.3941884 -0.3864728 -0.4598893 -0.4594791 -0.3972687 -0.5278869 -0.409506
11609 0.48871958 0.43211512 0.77187119 0.46715639 0.39398309 0.41657571 0.63599515 0.43926184 0.24233883 0.57962341 0.58822301 0.35894221 0.54060157 0.21400405 0.34046345 0.4519061 0.81223135 0.49761863 0.47939499 0.59393313 0.55234254 0.47522076 0.39735254 0.6878563 0.00428806 0.57383152 0.38751508 0.68385865 0.43378847
11610 1.22961493 1.13111543 0.970021025 1.37249434 1.09430091 0.94159897 0.921848215 1.14558456 1.00389979 1.04248233 1.00396495 1.110067895 1.00462274 1.2616575 1.08662778 1.05550689 1.144905845 1.09960385 1.15190052 0.85698895 1.01428457 0.99035074 1.00298275 0.866608695 0.939038905 1.029845555 1.005046625 0.928236865 1.08413578
