Gene	KFA2a	KFA2b	KFA2c	KFA2d	KFA2e	KFA3a	KFA3b	KFA3c	KFA3d	KFA3e	KFA4a	KFA4b	KFA4c	KFA4d	KFA4e	KMA2a	KMA2b	KMA2c	KMA2d	KMA2e	KMA3a	KMA3b	KMA3c	KMA3d	KMA3e	KMA4a	KMA4b	KMA4c	KMA4d	KMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11502 -1.0698044 -1.0361857 -0.9409769 -1.4534748 -0.9342001 -0.9335057 -1.2213397 -1.0316624 -0.897684 -1.070931 -1.0852475 -1.0357313 -0.9372577 -1.2101963 -1.6116455 -1.2500584 -1.2206168 -0.9868324 -0.8862267 -1.04742 -1.0428689 -0.9531037 -1.0663631 -1.108347 -0.9814643 -1.2812673 -0.8350988 -0.9594965 -1.2022896 -1.0979249
11504 -0.5006463 -0.7727874 -0.6140323 -0.4658366 -0.4773499 -0.4928708 -0.3203448 -0.1945531 -0.3976071 -0.3038349 -0.3602445 -0.7158139 -0.4020879 -0.506549 -0.2793732 -0.6960882 -0.3100611 -0.460797 -0.7860112 -0.4266849 -0.3899678 -0.5451863 -0.5849663 -0.6495705 -0.6241047 -0.3697037 -0.4228804 -0.5403977 -0.6047871 -0.4895801
11513 0.69115805 0.58876902 0.89936797 0.8323847 0.90576873 0.83130097 0.58488697 0.79821549 0.77069739 0.85966617 0.70776024 0.9668446 0.92656616 0.78540767 0.76339758 0.66206815 0.46732048 0.73513165 0.87429481 0.7556555 0.6570471 0.84637859 0.74949015 0.80234705 0.71790673 0.88613914 0.87649281 0.73790199 0.69100641 0.81732189
11517 1.17466977 1.28841917 1.2693826 1.15021949 1.07409164 1.10025334 1.02770416 1.14816751 1.29217654 1.192593 0.83940176 1.15121553 1.12531733 1.07296747 0.90906283 0.89795071 1.07032279 1.09038505 1.21594226 1.20660304 1.11834398 1.1623974 1.1271735 1.17289252 0.93102619 1.16548616 1.20687439 1.17893823 1.10109983 1.23012149
11518 0.11646392 -0.0311989 0.20815036 0.1073654 0.16390126 0.3102106 -0.1943444 -0.0257824 0.16894314 0.21417513 -0.0933395 0.18901276 0.22223985 0.04952081 0.34668724 -0.4890676 0.21627863 0.26117003 0.07742277 0.32984726 0.10639977 0.12688252 0.07429168 0.24588242 0.12881663 0.20305541 0.14160223 -0.0994769 0.13938142 0.14106392
11520 -0.6972182 -0.7706948 -0.8698322 -0.7724049 -0.4748426 -0.6615315 -0.95219 -0.5944244 -0.5322941 -0.9686682 -0.7987906 -0.5568525 -0.7186462 -0.6939277 -1.108803 -0.9893924 -0.871569 -0.6610642 -0.6380884 -0.6782817 -0.754684 -0.59996 -0.863873 -0.6870343 -0.7233239 -0.7121605 -0.751018 -0.5460783 -0.8669904 -0.8687649
11532 0.0395752 -0.0077364 0.11857328 -0.1801016 0.02876001 0.0862315 0.0061001 0.17607248 0.16170894 0.12114795 0.10157608 -0.001628 0.00158418 -0.0319 0.10881919 0.1633008 -0.0983695 0.138035 0.23109051 -0.0409255 -0.0279565 -0.219764 0.22936232 0.32798124 0.28861399 0.20331297 0.1767452 0.12200889 -0.0298126 -0.0081241
11534 -0.59131795 -0.6645726 -0.4540233 -0.70760025 -0.5006652 -0.7471847 -0.55292435 -0.49510225 -0.47073145 -0.38223395 -0.83612775 -0.4202147 -0.49146 -0.6468984 -0.70722795 -0.6317184 -0.9420714 -0.69688455 -0.74529145 -0.5054178 -0.7428814 -0.54841945 -0.80416255 -0.81442685 -0.50297995 -0.5609426 -0.6262674 -0.52845715 -0.7373765 -0.71178535
11535 0.074565173 0.027059167 0.189350847 0.153590547 0.134066317 0.076951523 0.128721503 0.257833387 0.16770545 0.301815383 0.05871218 0.23492572 0.201579147 0.2771646 0.101006173 -0.053353823 -0.042024173 0.241585863 0.241599873 0.089622163 0.136872893 -0.049627153 0.20875923 0.194118217 0.14794027 0.31815288 0.228912857 0.166995713 0.051980213 0.26324274
11539 -0.4411458 -0.7506775 -0.4212581 -0.3067129 -0.4908235 -0.211425 -0.3409783 -0.4543154 -0.4812056 -0.4740338 -0.5704947 -0.4815268 -0.427174 -0.3343425 -0.4847885 -0.5620379 -0.7709787 -0.544751 -0.40489 -0.4529269 -0.456624 -0.6604133 -0.4701189 -0.8451054 -0.2096803 -0.3793386 -0.5040715 -0.5171825 -0.5698035 -0.8095258
11545 1.06252425 0.94558662 1.03098524 0.97276123 0.86783746 0.9313246 0.93502933 1.03957659 1.15849155 1.04087088 0.89572103 0.99840916 0.90452254 1.04144822 1.1457135 0.89546275 0.99618413 0.98574471 0.99301885 0.95681141 1.05479875 0.85354194 0.97185106 0.89690996 0.91779467 0.80352463 0.90929652 1.14790462 0.97248344 1.07545361
11546 0.62954759 0.86792437 0.45140855 0.83036617 0.87717678 0.781039 0.62114418 0.66047771 0.89485865 0.77618724 0.51064216 0.82995411 0.85780031 0.61048224 -0.0842036 0.80729422 0.45374575 0.22744326 0.7254765 0.56778782 0.55272485 0.87478678 0.81261994 0.29936071 0.44052488 0.42476925 0.82383972 0.74968196 0.54993789 0.7171086
11555 0.15089593 0.07235772 0.2816586 0.0636945 0.0229296 0.17761815 0.05086866 0.30816326 0.27411373 -0.0256117 0.10051923 -0.0596637 0.08348728 -0.0275665 0.23899844 -0.2180606 -0.251998 0.22558636 -0.0755626 0.16459438 0.2496146 0.11123758 0.08396567 -0.0661348 0.16977202 0.22766395 -0.0370429 0.17455229 0.08017782 -0.1045676
11566 -0.5417809 -0.8693597 -0.7767454 -0.7672726 -0.4497536 -1.2139027 -0.6018464 -0.6098597 -0.4445113 -0.6941773 -0.6932972 -0.3891961 -0.3660737 -0.6148178 -0.3040443 -0.5165257 -0.8043717 -0.8178137 -0.2621177 -0.3888281 -0.5219691 -0.6707603 -0.4396285 -0.3373472 -0.2168475 -0.312698 -0.4791904 -0.7049004 -0.5568348 -0.5388926
11568 -1.2979339 -1.1679174 -1.1574115 -1.1760875 -1.2129813 -1.2619234 -1.1153554 -1.0758172 -0.8744121 -0.9337941 -1.2674009 -1.4438852 -1.3144005 -1.1799052 -1.110185 -1.3746999 -1.1909552 -1.1099239 -1.22314 -1.2432456 -1.1712603 -1.3332585 -1.1071405 -1.2504097 -1.1410561 -1.2079042 -1.232335 -1.1967818 -1.1677277 -1.0920328
11569 -0.032421463 -0.186482667 -0.193180057 -0.109363587 0.00715058 -0.134251577 -0.037935927 -0.08447262 -0.1660579 0.046123453 -0.175600917 -0.201339713 -0.144106247 -0.078814787 -0.014724133 -0.178977427 -0.08322181 -0.112088647 -0.306291197 -0.053498197 -0.137859143 -0.106740777 -0.13370808 -0.259573613 -0.316903017 -0.135662153 -0.2446389 -0.353906223 -0.1655518 -0.082679553
11593 -0.0990436 0.22019823 0.03724087 0.37301469 -0.0108826 0.14246888 0.14656206 0.15177585 -0.0225429 0.11404141 0.12703043 0.0730625 0.03409476 0.22819337 -0.036996 0.23625991 0.42465263 0.11836476 0.04717632 0.16742653 0.17174077 0.29730504 0.00502518 -0.0949894 0.28701034 -0.3260685 0.05519573 0.09619841 0.34026996 -0.1408068
11602 1.45942177 1.71703919 0.72878429 1.34200774 1.38213536 1.24111677 1.4867435 1.241579 0.61961694 0.91086925 1.52290402 1.51502208 1.19441244 1.33937057 1.12873105 1.71678486 1.65681476 0.61574208 1.14835749 1.26112366 1.27870991 1.25674644 1.67490814 1.32665773 0.30921037 1.26697582 1.54539455 1.80689315 1.65063999 1.20283328
11603 0.89476521 0.60414126 0.95034107 0.95449015 0.96041433 0.8677344 1.01682318 0.75865767 0.85344523 0.97995649 0.71414138 0.76785319 1.04137952 1.08014857 1.19265263 0.92028216 0.91059708 0.94269578 1.0432194 0.90098892 1.01592439 0.85128718 0.97570978 0.87785062 0.84373395 1.08608195 0.97670002 0.68627052 0.71108004 0.9718959
11605 -0.9980697 -0.8533889 -0.8498517 -1.1208831 -0.8114671 -1.0190628 -0.983512 -0.8633993 -0.7844911 -0.7963753 -1.0151371 -0.768368 -1.1158899 -1.1874838 -0.7965684 -0.7762248 -0.9732757 -0.7105814 -0.6284535 -0.7202792 -1.0605299 -0.8012153 -1.0139755 -0.6913617 -0.6778345 -0.7031292 -1.0276898 -0.9445634 -0.8086396 -0.6927159
