Gene	GSM635888	GSM635889	GSM635884	GSM635885	GSM635886	GSM635887	GSM635895	GSM635894	GSM635893	GSM635892	GSM635891	GSM635890	GSM635897	GSM635896	GSM635899	GSM635898	GSM635901	GSM635900
11468	4.59171	4.93229	5.23844	4.75133	4.61928	5.09047	5.20351	6.28935	5.1819	4.71272	5.23646	4.74486	4.83628	4.87884	4.65007	4.56228	4.44323	4.69221
11470	4.97171	5.44654	5.49128	4.97167	5.03444	4.83708	4.89074	4.65996	5.16104	5.23551	5.19279	5.18298	5.12829	5.21208	5.1525	5.04099	5.0303	5.16167
11471	5.94233	6.13385	6.23494	6.53808	5.84148	6.13884	6.11602	5.94633	5.96144	6.19991	6.31028	6.20096	5.86582	6.22671	5.69071	6.15791	5.7023	5.67379
11472	5.03495	5.07517	5.02613	4.87514	5.07836	5.06229	5.00635	5.20876	4.96329	5.0244	4.90024	5.06659	4.77329	4.95092	5.11463	5.00738	4.85411	5.08288
11474	5.34431	5.30349	5.29597	5.13098	5.16635	5.22684	5.92371	6.05914	5.40412	4.78081	4.79806	5.09604	4.85243	5.00164	5.32581	5.17804	5.26146	5.32707
11475	11.6013	11.467	8.62262	8.36881	8.54435	11.9391	11.6959	12.1058	11.7777	8.9493	8.65326	8.5595	7.27668	7.81989	11.2733	7.46285	11.257	11.3502
11477	7.99744	7.80241	6.28395	5.83882	6.03175	7.70667	7.84681	7.94545	7.52286	6.00113	5.74075	6.01506	5.66913	5.93911	7.63687	6.25083	7.6209	7.56708
11479	9.01684	8.92939	6.83343	7.50839	7.24329	8.90771	8.19593	8.03665	8.00611	7.48714	7.42866	7.49257	6.91585	6.80794	7.66156	6.80529	7.76803	7.71314
11480	8.38134	8.1864	6.08702	6.82352	6.66082	8.26676	8.45992	8.2065	8.36549	6.90909	6.80744	7.40256	7.09394	7.03364	8.26717	7.02232	8.52662	8.18319
11481	5.67532	6.1483	5.74457	5.16073	5.44133	5.67658	5.4436	5.5567	5.39384	5.27381	5.62292	5.63684	5.49867	5.84945	5.63325	5.63489	5.65599	5.86572
11482	8.26666	8.1687	7.89267	7.73493	7.74091	8.2569	8.6073	8.46134	8.29292	7.61319	7.84866	7.70601	7.63574	7.85014	7.84677	7.89013	7.78632	7.74202
11484	7.86184	7.61629	4.69895	4.88171	4.9181	7.81814	7.22632	7.20877	7.22016	5.03347	4.9689	5.02631	5.51121	5.06116	8.35296	5.03129	8.20413	8.21184
11486	5.70429	5.62597	7.41085	6.94503	7.04156	5.69792	5.43426	5.70474	5.18213	6.52499	6.63678	6.73832	6.61367	6.46864	5.67405	6.43211	5.34951	5.63001
11487	8.56602	8.39856	9.49916	9.95539	10.0225	8.7245	9.03714	9.27961	9.1985	9.92632	9.99688	10.1887	10.4408	10.2221	8.73917	10.3085	8.72184	8.61209
11488	5.78348	5.78838	5.89609	5.95218	6.03452	5.65837	5.45113	5.6975	5.72125	5.79121	5.72311	5.82165	5.58933	5.81592	5.66105	5.7104	5.27531	5.66602
11489	7.5303	7.1866	5.47903	5.80555	5.35012	7.39875	6.77826	6.85755	6.68977	5.3318	5.38599	5.74508	5.24988	5.35262	6.8889	5.40613	6.7799	6.74021
11490	10.5613	10.3752	8.613	8.78012	8.52833	10.3165	10.7102	10.5786	10.4034	8.44321	8.31317	8.50033	7.91386	7.97845	10.0068	8.0782	9.94151	10.0021
11491	8.47603	8.37032	8.55867	8.6616	9.00221	8.50682	8.62937	8.73407	9.01297	9.19589	8.89538	9.16033	9.03906	8.8916	8.36049	8.85285	8.48873	8.33389
11492	6.28329	6.69673	7.99123	8.58313	7.93803	6.37655	7.13008	7.33954	7.97794	8.49663	8.5845	8.30122	7.43243	7.5046	6.3892	7.38728	6.42656	6.43811
11495	3.73586	3.6381	3.28402	3.44967	3.23627	3.71347	3.18678	3.41351	3.23212	3.22442	3.27411	3.41597	3.46187	3.46945	3.52341	3.37245	3.39905	3.56094
11496	4.49276	4.92462	4.57062	4.31378	4.44697	4.88096	5.54292	5.28296	4.99706	4.36188	4.11905	4.50333	4.68107	4.49177	5.15016	4.49516	5.25591	5.25749
11497	4.28437	4.744	4.29103	4.28493	4.26622	4.25021	4.17854	4.3637	4.13382	4.26483	3.82811	4.33315	4.15447	4.36144	5.21185	4.09872	5.05625	4.9994
11498	4.43756	4.72219	3.89297	3.88271	4.22859	4.30402	4.48888	4.94013	5.57789	4.12329	3.48318	3.90135	3.85099	3.68062	4.23344	4.02487	4.38981	4.63194
11499	3.57992	3.49639	3.54675	3.6446	3.67113	3.61028	3.49377	3.76116	3.6353	3.39217	3.48989	3.37374	3.35732	3.4712	3.48113	3.59638	3.60779	3.52473
11500	4.8669	4.03688	3.60958	3.87344	3.78872	3.60889	5.65684	4.44006	4.21933	3.59737	3.75881	3.71854	3.67524	3.69311	3.75866	3.6242	3.65175	3.93282
11501	6.14724	5.92425	9.82961	9.6434	10.0478	6.80631	6.57955	7.15729	7.98893	10.8883	10.602	10.7092	9.51568	9.52933	5.96608	9.60679	5.91539	5.90154
11502	10.6323	10.6164	8.29205	7.83474	8.41491	10.5653	10.3891	10.1498	10.2092	8.70432	8.36717	8.80906	8.11732	7.77268	10.2019	8.14111	10.3676	10.1843
11504	11.1302	11.2557	5.4131	6.35417	5.95475	11.0372	8.87808	9.05627	8.85268	5.44057	5.14128	5.87438	5.51299	5.48392	9.91157	5.31631	9.88751	9.83942
11512	9.44184	9.38449	7.60619	7.57238	7.54486	9.38253	8.93603	8.67592	8.7595	6.65193	6.84002	6.7575	7.78178	7.65836	8.90403	7.93071	9.03074	8.90662
11513	6.71197	6.66769	8.20987	8.21969	8.27585	6.61461	7.83051	8.21537	8.62681	8.5708	8.45113	8.53639	8.34299	8.46814	5.99547	8.34662	6.47236	6.08188
11514	3.95833	4.02572	3.87912	3.84	3.59279	3.86113	4.28806	4.11596	4.06671	3.93672	4.07088	3.7954	3.82139	4.06153	3.83311	3.81509	3.81969	3.87076
11515	6.8227	6.80114	6.41856	6.40321	6.34527	6.77491	6.59792	6.88363	7.00622	5.90802	5.73586	5.76603	6.10556	5.9489	6.38043	6.18881	6.34902	6.2053
11516	4.79497	4.64559	4.59375	4.57307	4.45784	4.54577	4.51861	4.57707	4.28498	4.41448	4.48269	4.44956	4.39224	4.62145	4.49235	4.46033	4.55192	4.75961
11517	6.41377	6.35306	5.99191	5.86598	5.427	6.08038	6.57955	6.45391	6.71952	5.5278	5.76773	5.69235	5.60352	5.91858	5.87053	5.50443	5.77745	5.90864
11518	9.65447	9.45967	9.43995	10.0082	10.23	9.61156	10.0711	10.0449	10.0992	10.162	10.1358	10.305	10.3595	10.4917	9.76626	10.4547	9.69182	9.66838
11519	5.44921	5.63049	7.93222	7.83063	7.97498	5.29745	5.03204	4.86244	4.6719	7.5709	7.51618	7.34843	8.60923	8.13894	4.89176	8.39893	4.97382	5.19915
11520	11.2649	11.2282	10.1303	9.67532	10.3807	11.5192	11.3202	11.4731	11.3727	10.4678	10.2258	10.6163	9.63873	9.37317	12.1681	9.20613	11.9804	12.1232
11522	11.3489	11.3147	6.78537	6.86951	6.54746	11.3431	11.5857	11.3585	11.3296	5.97895	5.74179	6.41044	5.50536	5.93912	11.5207	5.77061	11.5214	11.6006
11529	4.863	4.77622	4.59352	4.62699	4.69897	4.99939	4.47184	4.61126	4.62145	4.24975	4.31785	4.68779	4.58832	4.62689	4.65972	4.59194	4.60636	4.67601
11532	9.88234	9.86634	8.22185	8.20423	8.30505	10.0995	9.59372	9.14211	9.24014	8.4546	8.22052	8.38912	8.40652	8.40254	9.65509	8.03615	9.44922	9.54097
11534	8.99385	9.03286	6.98068	7.28016	7.30122	9.31343	8.71804	8.36264	8.65089	7.00615	7.26865	7.3315	8.14484	8.22377	9.69168	8.14596	9.58708	9.75395
11535	10.1063	10.1313	5.25898	4.74511	5.61438	9.944	8.62593	8.22929	8.22461	6.96317	6.86936	6.68757	5.48425	5.1521	9.44766	5.6142	9.6806	9.5307
11536	5.94278	5.57367	5.81549	6.05829	5.53525	5.35303	6.2551	6.66074	5.84984	5.03776	5.16739	5.44824	4.95221	4.98784	4.88827	4.62913	5.31059	4.97499
11537	13.4591	13.4494	5.71302	6.15736	6.15348	13.3251	13.1572	12.9657	12.6568	5.83694	5.86998	5.77863	6.1531	6.09136	13.3604	6.63139	13.3184	13.3864
11538	8.85113	8.64993	8.76984	8.53579	8.50084	8.70469	8.62015	8.50408	8.53669	8.41974	8.35408	8.50953	8.53123	8.52307	8.62644	8.60485	8.5368	8.44818
11539	8.05104	8.02446	5.41845	5.56061	5.51042	8.10103	8.31392	8.03265	7.61272	5.71939	5.9625	5.29118	5.31368	5.90648	8.50399	5.36613	8.33165	8.60533
11540	6.69016	6.78924	6.65524	6.31592	6.73308	6.6315	6.98819	7.24389	7.15007	7.50046	6.86829	7.3388	6.9698	6.70827	6.43294	6.86257	6.50386	6.59591
11541	5.52887	5.97623	7.05755	6.44479	7.21656	5.62621	5.72844	6.13343	6.05006	7.3425	6.56118	6.75562	6.52608	7.02472	5.35214	6.81752	5.4502	5.22962
11544	7.19553	7.41242	7.61437	7.96089	7.81218	7.08391	7.53143	7.49342	7.28051	8.36362	8.44889	8.42962	7.5888	7.49828	7.1692	7.54165	7.12006	7.17706
11545	8.22577	8.14088	8.04636	8.60024	8.75368	8.27226	8.12153	8.23404	8.38094	9.02889	8.91728	9.07925	8.93542	8.50549	8.50162	8.92512	8.48955	8.63091
11546	7.42967	7.33745	8.0053	8.11121	8.31556	7.76629	7.73527	7.83315	8.09995	8.53163	8.58677	8.68067	8.55854	8.43251	7.8262	8.35295	7.71751	7.71568
11548	5.07035	5.02615	4.7163	4.86184	4.57433	4.7385	4.73975	4.8303	4.90038	4.70049	4.7104	4.70321	4.67075	4.84728	4.82869	4.72242	4.78335	4.75428
11549	7.64137	7.58579	5.30652	4.76917	4.7543	7.56849	7.35069	7.24198	7.2816	5.0152	5.14939	5.18749	5.01238	5.18839	7.8554	5.0664	7.75955	7.83194
11550	7.83185	7.66526	6.69667	6.63402	6.41451	7.28793	7.18183	7.19122	7.26794	6.32363	6.56255	6.33456	6.3072	6.16649	7.45126	6.28411	7.51483	7.54909
11551	4.7834	5.07211	5.11255	4.70407	4.75555	4.62898	4.93634	5.09292	4.83917	4.58783	4.89604	4.99265	4.9599	5.21099	4.77361	5.08263	4.83267	4.64542
11552	5.09718	4.97045	5.59115	4.82822	4.95962	4.55544	5.23652	4.70938	4.71817	4.91926	4.97778	5.27897	4.71883	4.98834	4.44638	4.85278	4.45306	4.82822
11553	4.53363	4.68948	4.88305	4.55398	4.0158	4.61268	4.38217	4.59258	4.47592	4.41309	5.12347	4.58245	4.3924	5.11403	4.39962	4.56634	4.35235	4.65821
11554	6.87582	7.0857	6.90219	7.065	6.17768	6.84548	6.74024	6.87575	6.83224	7.11806	7.37158	7.58109	6.45376	6.81721	7.07681	6.73816	7.28642	7.20905
11555	7.55875	7.74828	9.22485	10.0994	9.33974	8.01221	7.32133	7.46031	7.15199	9.93088	9.74181	9.83453	9.84708	10.2256	6.56738	9.99098	6.91521	6.57517
