Gene	GSM414188	GSM414205	GSM413703	GSM414187	GSM414185	GSM414181	GSM413691	GSM414206	GSM414186	GSM414180	GSM414204	GSM414179	GSM414183	GSM414184	GSM413692
32	8.27312350572462	8.78492349897506	9.05900399465194	8.4971843864372	8.44023460552742	8.83371440471691	8.58269937725713	8.19598037996327	8.18309315275196	8.31161547560961	8.68801497781078	8.59784769292308	7.7525130338843	7.86884292209063	8.3350137196975
33	8.44023460552742	8.31030433002378	8.91966475002859	7.70016428830387	8.42691379545107	8.20021300879821	7.89909275713955	8.35042459115006	7.66655427592949	8.01173473087871	7.54944334694713	8.33129853158119	7.64409151021047	7.75097167965157	8.27646139250649
34	8.84690069317399	8.67917536414908	8.57039561621046	8.30129589568161	8.50699010867193	8.78101076044904	8.50960195484955	8.6889985460833	8.3344034684127	8.68340217099286	8.53734011692439	8.56792756337402	8.44023460552742	8.3701389367945	8.5999936661691
35	6.18502195987657	6.11101961089896	6.22110156190386	5.97578176308911	6.15272733202258	6.15540004328898	5.93436390303939	6.17666763328332	6.18156798142483	5.95692456766157	6.12055610372396	6.22142166109314	5.81663760698736	5.931531369934	5.90292416877139
36	5.88018672737974	5.60885218290835	5.53312520945983	5.61456707648852	5.50597811902431	5.66311576410485	5.61954744995332	5.62074355536765	5.63390756779068	5.59008553749778	5.60635094635507	5.40199431963554	5.24375449209265	5.64446574390929	5.48618667871168
37	11.0475412855906	10.8011004400009	11.0357848486701	10.7877237414373	10.6505735002892	10.8813703398368	10.6008034165698	10.9806653156086	10.9384645332735	10.7832731405824	10.8057550550098	10.8160378442383	10.897734206167	11.4249029687436	11.0294273051658
38	10.3794243776949	10.2442267547389	10.1220591997192	10.1532556648683	10.2921059671383	10.3794243776949	10.2646340824135	10.2703796521611	10.1163810354242	10.2442267547389	10.3756590368266	10.1133270789151	10.0209505195669	10.0373275817492	10.1203077990449
39	8.15199957123606	8.06800278892615	8.08449158448506	7.64954985230796	8.13553612050403	7.8994017518223	7.69805691484267	8.62847853127006	8.0274391528178	8.73652528678752	7.73600429006616	8.29338011262426	7.90761334001043	7.63284247052251	7.86352311915192
40	5.02525284145785	5.16309596247794	5.32192775693601	5.4264763624144	5.30373066387548	5.12559063877768	5.38671971933236	5.27342089286415	5.23666242163065	5.30244097656093	5.29040011974437	5.21674636757568	5.28891033477105	5.39073796674225	5.31991309185217
41	5.15565242907719	5.4993006886202	5.31204887750334	5.62601314672112	5.27881436066705	5.58381940736482	5.44783577377282	5.08428190732954	5.12312175733418	5.03003781316318	5.16760304985077	5.25605591774322	5.14734565102054	5.25933974707664	5.1050228516376
47	8.53989725208961	8.49177920641024	8.33829930254249	8.21217257866563	8.09634441987202	8.39759476938595	8.61489879461273	8.44819773224823	8.69725481990444	8.60436734387037	8.45152509590174	8.56157313826135	8.50763403750276	8.8759875415149	8.8211667665358
48	9.81799788159826	10.0054162962915	9.87867298874006	10.0387833023801	9.8577627963433	10.0868138471811	9.87867298874006	9.66127265418627	9.93199783303332	10.0209505195669	9.87474853304733	9.82354281904257	9.72856158203455	9.92647054780033	9.60792774100247
49	5.09628222853587	5.25191728408562	5.30928152569654	4.91986940482269	4.89616447836192	5.2813434666827	5.09329102446064	5.46455730818422	5.25260729776404	5.02246982482961	5.08717819914338	5.18915728184855	4.91201447456781	5.33208006359614	5.04865309470884
50	7.97362705921481	7.97255114866084	7.86000389689563	8.10307397886594	8.11665823332641	7.98085507006128	8.00618639643969	8.15244041830927	7.85524793661839	8.15652618493112	7.84976729344931	8.15405384776905	7.55242606649588	7.96580343660017	7.66201354063872
51	6.78883092277495	6.68496485070534	6.74020607423542	6.71367081625148	6.71278608589174	6.87585783800809	6.72710297436913	6.70877847908249	6.72528137277829	6.79838368984138	6.85394899579048	6.62370237625993	6.47507781833151	6.91609673807212	6.8193922480692
52	8.95412377387069	8.89371474843554	8.58992617792438	8.46882999660542	8.59872533720728	8.75327465241295	8.50058403327226	8.7608079616512	8.73252612546706	8.94532235078054	8.43847152416812	8.78101076044904	8.46859087704462	8.20349550764175	8.44863050304923
59	13.4667391304047	13.3937810705552	13.4492317978882	13.5013957658735	13.6240688716332	13.6654456253521	13.4329686367274	13.4667391304047	13.4667391304047	13.4822285897809	13.4822285897809	13.5443244739688	13.4822285897809	13.4822285897809	13.6240688716332
