Gene	GSM684640	GSM684639	GSM684638	GSM684637	GSM684636	GSM684635	GSM684634	GSM684641	GSM684655	GSM684653	GSM684657	GSM684656	GSM684651	GSM684654	GSM684652	GSM684650
503000	6.07367333333333	5.95918	6.00878	5.83298666666667	5.91988666666667	5.92577333333333	5.98425	5.77171666666667	5.67115	5.68031	6.09645666666667	5.64924333333333	5.66157333333333	6.06638	5.59438666666667	5.86675666666667
503009	6.068785	6.83144	5.946145	6.84463	6.186385	5.882085	6.01193	5.85722	5.348475	5.09911	6.40247	5.34168	5.97044	5.019735	5.751445	6.23343
503018	4.40477	4.3852	4.39731	4.43906	4.42799	4.4141	3.7864	4.37334	4.25734	4.77648	4.48426	4.34876	4.17836	5.25204	4.35016	4.35127
503027	8.32982	8.402375	8.31401	8.30387	8.400095	8.438855	8.452295	8.311135	8.159285	7.842165	8.18086	7.87275	8.17359	8.40044	7.99849	7.99506
503029	4.44566	4.1847	4.10821	4.14569	4.16242	4.30379	4.10827	4.01657	3.79763	4.15615	3.87194	4.00533	4.09161	3.91551	3.96585	3.93794
503035	5.73299	5.96892	5.90422	6.05792	5.98319	5.26258	5.90806	6.01816	6.43564	6.09066	5.99606	7.18822	6.15006	7.50101	6.11171	5.99783
503052	6.88548	7.01841	6.436	7.05982	7.2272	6.68219	6.45434	6.99406	6.9447	6.86361	6.96766	7.06705	6.82342	7.11071	6.87677	7.10993
503164	8.5112	8.86478	9.01068	8.0786	8.16457	7.8846	8.95842	8.36616	8.86725	8.46975	8.38585	9.36694	8.82401	8.434	8.99211	8.86642
503165	9.04922	9.22259	9.07507	9.17965	8.45605	9.29535	9.03477	9.21787	9.77464	9.58897	9.6076	9.27561	9.7286	10.3495	9.18529	9.03219
503194	4.21004	4.235695	4.24141	4.324425	4.31602	4.26286	4.13022	4.32697	4.792685	4.560865	4.334625	5.648635	4.225395	4.415165	4.28887	4.870565
503214	6.227015	6.182505	6.095605	6.1384	6.167075	6.14469	6.0227	6.055155	5.93715	5.960105	6.09872	5.827905	6.020195	5.31445	5.9772	5.949875
503252	9.007575	8.833395	9.349765	9.04947	9.054345	9.030425	8.75744	9.093255	9.035815	8.98623	9.519895	9.161755	8.69511	9.461455	8.818645	8.848265
503257	2.65477	2.59364	2.61469	2.66355	2.65634	2.6686	2.37869	2.51373	3.0568	2.61371	2.71552	3.16063	2.61716	4.0525	2.57297	2.72011
503269	10.0459166666667	9.78999666666667	9.52748666666667	9.45013	9.73988333333333	9.43922333333333	9.58201666666667	9.71510666666667	9.71344	9.61652333333333	9.84622	9.71381	9.92915666666667	9.70101666666667	9.64777	9.75980666666667
503306	7.97387	8.51085	8.30983	8.46338	8.25316	8.16515	7.92853	8.54804	9.11196	8.39027	8.53643	8.49049	8.64149	10.2397	7.83274	8.36101
503446	2.70743	2.9534	2.56714	2.62203	2.60058	2.93076	2.57339	2.56911	2.41159	2.86542	2.53748	2.5472	2.70961	2.48273	2.54429	2.55921
503568	10.1137	9.66986	9.03096	9.70341	10.1216	9.46147	10.2761	9.2439	7.00165	7.01164	7.04186	8.05904	6.17251	3.62007	6.90851	8.15146
541462	3.5731375	3.49472	3.520325	3.626815	3.6827925	3.5338	3.482345	3.5778075	3.241155	3.6383525	3.36645	3.344635	3.49648	3.2937125	3.4701275	3.40014
541589	13.0897	12.9696	12.9426	13.0592	13.1492	12.9325	13.0536	13.1033	12.2881	12.5342	12.4984	12.2656	12.7388	10.3631	12.7275	12.399
548106	2.8355	2.81358	2.83207	2.84381	3.26462	2.64661	2.86295	2.6014	3.04899	3.1104	2.83258	2.78789	2.79374	3.97619	2.87165	2.77605
548326	4.55922	3.90541	5.16872	4.37383	4.59	4.32046	5.16512	5.05667	3.37489	4.06549	5.19523	3.826	3.51266	4.32034	4.11853	4.22533
