Gene	EFA2a	EFA2b	EFA2c	EFA2d	EFA2e	EFA3a	EFA3b	EFA3c	EFA3d	EFA3e	EFA4a	EFA4b	EFA4c	EFA4d	EFA4e	EMA2b	EMA2c	EMA2d	EMA2e	EMA3a	EMA3c	EMA3d	EMA3e	EMA4a	EMA4b	EMA4c	EMA4d	EMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	16	16	16	16	24	24	24	24	24
11504 -0.5686708 0.1134469 -0.7683874 -0.3488369 -0.4719928 -0.3133726 -0.6844992 -0.1996804 -0.5285855 -0.6020146 -0.2206659 -0.4515266 -0.5895073 -0.395023 -0.6648026 -0.3653121 -0.5176385 -0.4290134 -0.4632227 -0.5381158 -0.539906 -0.2898155 -0.5853543 -0.721451 -0.6654147 -0.4416703 -0.3607603 -0.7987716
11513 0.44099961 -0.1318738 0.21250575 -0.0756551 0.33733363 0.1818964 0.35020619 0.34167023 0.14948501 0.287645 0.23201243 -0.0019227 -0.1115044 0.52255592 0.08832052 0.25686764 0.10538484 0.17633866 0.33030065 0.30390542 0.17980233 0.16574322 0.1922411 -0.0528394 0.36760414 0.22020373 0.18878182 0.02381781
11517 1.18459772 0.96816895 0.93316859 0.94093388 1.03434649 1.07190611 1.18055188 1.12086726 0.99834377 0.95823563 1.25331887 0.8965242 0.97764185 0.97603101 0.71304826 0.74047171 1.18001514 1.00280818 1.05632346 1.26202704 0.78647851 1.15454086 0.62952504 0.9858828 1.11566146 0.94044032 0.97636814 0.97956744
11518 0.48463444 0.48152259 0.84602787 0.35445087 0.37374996 0.41585185 0.32611851 0.38432821 0.34062728 0.70902149 0.61492505 0.26253912 0.44360258 0.37761356 0.22602442 0.36029028 0.32056216 0.39777245 0.37334704 0.54294488 0.34627503 0.33344084 0.2630194 0.31228851 0.45470216 0.20238871 0.35120284 0.3813874
11520 -0.6641638 -0.7496695 -1.0035693 -0.670646 -0.7288643 -0.5487729 -0.710721 -0.88255 -0.6856075 -0.647566 -0.2828025 -0.7962289 -0.5770916 -0.7745485 -0.9418257 -2.4515391 -0.7170011 -0.8008807 -0.7366716 0.30231009 -0.9524278 -0.7165338 -1.0432475 -0.544764 -0.9031195 -0.6616914 -0.8356047 -0.8659099
11532 -0.0842618 -0.1548289 -0.0317157 0.05020075 0.01555455 0.10921763 0.09944655 -0.0615125 -0.0019809 -0.058075 0.0376346 -0.2204689 0.10022802 -0.0105699 0.01434774 -0.0215665 0.17981238 -0.2864152 -0.2484103 0.07818948 0.30382505 0.02631858 0.12337091 0.18681584 0.0826641 0.21155404 0.06863063 0.16740948
11534 -0.123165745 -0.5190557 -0.40042555 -0.42909035 -0.45974825 -0.451359 -0.3659901 -0.231295105 -0.59064335 -0.4448183 -0.5873427 -0.326691415 -0.4966484 -0.78234525 -0.39460195 -0.31802295 -0.58835385 -0.496892 -0.42879095 -0.4773458 -0.25050915 -0.4028906 -0.7093794 -0.53152095 -0.6707399 -0.3725634 -0.40140415 -0.6500016
11535 0.31553089 0.197910287 0.28919392 0.220589113 0.315955293 0.374545757 0.266042173 0.007723743 0.342826533 0.35535703 0.42369037 0.269376783 0.372748827 0.37952897 0.052704543 0.383894873 0.5366899 0.10247911 0.313606413 0.519772517 0.161930247 0.328678643 0.44676589 0.35354575 0.334433757 0.28096371 0.34702468 0.35090582
11539 0.13175234 0.25694713 0.19541338 0.40381941 0.20374012 0.49910013 0.32603225 0.08299691 0.37590375 0.21534661 0.06183472 0.10048773 0.28678193 0.28882866 0.16262643 0.1371718 0.41567546 0.21828309 0.13363562 0.3239313 0.2667564 0.23259992 0.1984204 0.42200016 0.06206142 0.17955727 0.36945249 0.30058551
11545 -0.1764045 0.37020073 -0.0823385 -0.4461934 -0.0716906 -0.0723749 0.81509173 0.49723252 0.04417591 0.00678826 0.46474673 -0.0399237 -0.0111898 -0.091359 0.59581277 -0.48908 -0.2925936 -0.1620547 -0.13521 -0.1696625 0.53617417 0.70704451 -0.0375995 0.02981459 0.04232333 0.66673229 0.71479656 0.17450737
