Gene	BmFA2a	BmFA2b	BmFA2c	BmFA2d	BmFA2e	BmFA3a	BmFA3b	BmFA3c	BmFA3d	BmFA3e	BmFA4d	BmMA2a	BmMA2b	BmMA2c	BmMA2d	BmMA2e	BmMA3a	BmMA3b	BmMA3c	BmMA3d	BmMA3e	BmMA4a	BmMA4b	BmMA4c	BmMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24
11287 1.5397499 1.32449529 1.3338381 1.62385778 1.61204797 1.59719437 1.46900697 1.49309632 1.62308868 1.17678947 1.57542256 1.14138923 1.23362473 1.40255229 1.65416234 1.70180894 1.58909653 1.37447302 1.34314828 1.3919355 1.42048208 1.75100469 1.21481569 1.52314529 1.71987948
11513 -0.332984 -0.3158787 -0.527245 -0.3663221 -0.2586732 -0.3714509 -0.3236522 -0.255329 -0.2927713 -0.3903556 -0.2351769 -0.571499 -0.5233583 -0.4278924 -0.6696152 -0.5138468 -0.5922916 -0.4949641 -0.4312482 -0.3879519 -0.202006 -0.4159492 -0.214705 -0.3552146 -0.2784484
11517 1.08660474 1.00612337 0.52907145 1.05967338 1.19297244 1.09561093 1.03148516 0.91744419 1.10811103 0.65354732 0.98363728 0.84644785 0.78880703 0.99504082 1.18054555 1.14055132 0.99265694 0.76686979 0.8677368 0.86223137 0.7514627 1.22202818 0.79211982 1.10332479 1.33054418
11518 0.46433488 0.41430086 0.27284034 0.47201135 0.40652282 0.43662008 0.20404233 0.51575237 0.26280996 0.2147745 0.46994618 0.38378329 0.40653388 0.35318013 0.35060251 0.22919628 0.2216419 0.30118674 0.21463933 0.21346785 0.18427964 0.37196567 0.52509026 0.58980792 0.52317099
11520 -0.2160702 -0.2134553 -0.1296662 -0.3539647 -0.0730431 -0.0822078 0.01866902 -0.1993432 -0.2100105 -0.1645011 -0.1507818 -0.2716079 -0.0952318 -0.1104571 -0.0655771 -0.1181781 -0.0293948 -0.1548724 -0.1581728 -0.1345936 -0.0528747 -0.0662068 -0.231989 -0.0809142 -0.0548559
11532 -0.9505815 -0.8778838 -0.8922386 -0.9058204 -1.2277089 -0.9066965 -0.9233526 -1.1509558 -0.8827876 -0.6030274 -1.0069678 -0.9126897 -0.912526 -0.8239834 -1.0028567 -1.0431309 -0.8911827 -0.8233493 -0.6924578 -0.9675428 -1.0426572 -0.9585995 -0.9141661 -0.7747459 -0.9199476
11534 -0.3286984 -0.4347287 -0.359165 -0.1989505 -0.47310455 -0.42102415 -0.12631945 -0.2790813 -0.54456645 -0.39361134 -0.4564683 -0.28685595 -0.5070076 -0.7585938 -0.3444089 -0.44030065 -0.29213059 -0.58333245 -0.38958545 -0.3375848 -0.48704225 -0.24840475 -0.56504315 -0.3563273 -0.41530325
11535 0.19784064 0.128579433 0.009138663 0.194945443 0.377714157 0.22192068 0.070608073 0.237286453 0.330990107 -0.369643487 0.17567155 0.013920007 -0.07778405 -0.141088813 0.496625867 0.36182865 0.318250253 -0.21295035 0.083241697 0.296617497 0.00554561 0.290825477 -0.12969911 -0.030359123 0.28187834
11539 -0.6593084 -0.6465503 -0.4134044 -0.8030401 -0.6463027 -0.584065 -0.6705062 -0.9089996 -0.8034533 -0.1356193 -0.5921766 -0.4531197 -0.2716732 -0.2617729 -0.7351439 -0.6108068 -0.2299193 -0.2920809 -0.4537465 -0.8076322 -0.5930206 -0.7657134 -0.508403 -0.7301534 -0.8981848
11545 -1.0509962 -0.8590915 -1.1403526 -0.9298492 -0.9136336 -1.0391604 -1.0174361 -0.7423085 -0.9894318 -0.7474449 -1.1251955 -1.2394712 -1.0492257 -1.1432973 -1.0438745 -1.0844517 -0.9004101 -1.0155434 -1.223736 -1.0764788 -0.8875121 -0.9731635 -1.0630686 -0.9378349 -1.1668035
11546 0.19834519 -0.0088156 0.30292229 0.31092027 0.10460388 0.2840352 0.33715011 0.18005988 0.20875725 0.12249317 0.26413926 0.07020438 0.19199532 0.26484599 0.09581326 0.2591844 0.19298769 0.22487663 0.06902053 0.15780621 0.18270777 0.29874596 0.10502283 0.32912311 0.29119225
