Gene	GSM154905	GSM154904	GSM154907	GSM154906	GSM154903	GSM154908	GSM154897	GSM154896	GSM154902	GSM154899	GSM154898	GSM154901	GSM154900
24205	5.72545097077943	5.93499606214694	5.8778911291099	6.14503101833278	6.12928040635158	6.04474513244688	5.87333960305949	5.92611014747881	6.11527508723437	5.71675289409078	5.75997053817981	5.59134461204993	6.02676819578849
24206	6.96494150464248	6.99545059931636	7.19679389939784	6.97512572339761	7.02577077632106	7.14918822092755	7.12387308487729	7.15957873258895	6.84515129147015	6.88445139746563	6.93674392903048	7.08403236522353	7.04681843205341
24207	2.21213350753376	2.91779453182353	2.26924265126929	2.56469764806671	2.77397945138629	2.64807653022585	2.44123911436748	2.62545519863299	2.83655637761509	2.73220189387389	2.58477253336765	2.95817080743319	3.22761940876596
24208	3.20251959215302	3.00475125796144	2.8567885378591	3.74760223027494	3.99873708923515	2.85150719797795	3.46341320381782	3.4619868592787	3.99703040415904	3.97680352648957	3.69729565858272	3.88908409859815	3.46731861270614
24209	2.73941393302948	2.8533709427212	2.65530602804299	2.77388453300635	2.72772227453887	2.7479738117247	2.69293374865307	2.7372324680637	2.74088439751766	2.99523304290413	3.12881303401599	3.13479428887963	2.73884348174799
24210	2.40461978563034	2.69159222887622	2.36560576014801	2.54089272586375	2.36875717619099	2.64368536456883	2.32621805613258	2.38168483445443	2.37875852493032	2.36175151852272	2.28596439046212	2.3758068105129	2.37782895603306
24211	10.3195823730415	8.97031156427672	9.83373687432896	9.86829784298857	10.2191080034613	9.92825557208267	10.0101301385064	9.9328038183047	9.80666400198313	8.93545385443116	10.0455767537284	9.64623107408037	9.67272322067122
24212	10.9031136094225	11.2212789750961	10.9508620454196	10.8505150407861	11.0401595574818	11.0539055235082	9.83879580681784	9.81470582267361	9.17275001620062	9.78298347075732	9.47994998287417	8.52988339950768	9.15416748407473
24213	4.07661039916393	3.99969339472585	5.41682285633835	4.97901926859952	5.37350553545051	4.42240794376537	5.29242839288672	5.07687116645626	6.65998162590662	5.27347859100278	5.87403706442846	6.65106604628205	4.95180224362448
24214	4.75735347063092	4.91390186050956	4.9731655874805	4.96480107042449	4.40139529959468	5.1746461020481	4.7872355014669	4.8179393879563	5.18930944456352	4.67414338873904	4.84290795199814	4.7562277842918	4.63276405670199
24215	3.08865130204434	3.5018874893089	3.58552804653847	3.51460455110566	3.83740086821513	3.82532720900206	3.94706483064495	4.19714158253399	3.74468209432092	3.34655770034453	3.30503954378544	3.47786315647503	3.25167895407533
24216	3.01964854619131	2.87981749241432	2.94099359599338	2.82711985932125	3.24121477850752	2.81245715158046	3.37774845771381	3.54911465531884	3.02565607093451	3.01278139723678	3.30992703184903	3.01568488778829	3.01741420375189
24217	2.36114230727133	2.50754603132627	2.34735667673428	2.42602316693385	2.34791789330376	2.37515901364239	2.33506586815039	2.36467607850766	2.37217205191235	2.3539922529219	2.31698851668124	2.36371496455203	2.36479372194151
24218	4.37654252727824	4.61776923341223	4.34891047104101	4.51780888783464	4.41085902220274	4.38348899521004	4.45357914430367	4.41722873082658	4.39268869722494	4.54029018490439	4.33840444654792	4.37857369942117	4.61324638599119
24221	2.6435168279906	2.7491695254219	3.03368904961704	2.68141328182544	2.5679250542874	2.65156608891829	2.62456416755031	2.50370236838475	2.70434081330319	2.8378463863854	2.62637138100719	2.64471693335478	2.93945039440763
24223	13.1202184338815	13.1392763444218	13.0301618976371	13.0190233721948	12.9417069786118	13.0225273329876	13.1321526699261	13.1748796615421	13.3725814708581	13.2838675278891	13.2265025089334	13.4904103062564	13.2606108556159
24224	4.44933026078701	4.68449897576909	4.44070641412704	4.26114714876262	4.50744581461479	4.5253360070127	4.65062671542609	4.51580074457219	4.52068624699232	4.59954394103679	4.91914459498577	4.63414017712258	4.44915855226016
24225	6.39491965430331	7.21546796173285	6.49135848775429	6.29000040981748	7.16440315216813	6.3216656808628	6.17509240648036	6.18658474145154	6.0699996187878	6.72005405287654	6.6753226720577	5.90469482677774	6.07379988635055
24230	9.55871343203395	8.79180756079045	9.80904780699029	9.66322896854678	9.12825473035772	9.43376485410627	9.51350258902988	9.52872562835559	9.28236566666567	8.98973508611239	9.37552821357479	9.63336218370995	8.96178536773108
24231	7.00617644755607	5.71512369131861	6.45137048648108	5.96768815476793	6.19728812973297	6.40734935176035	7.26269623455259	7.22378613843809	7.81283404496672	6.83386793113351	7.29148691385712	8.34903347761922	7.42031677079674
