Gene	TFA2a	TFA2b	TFA2c	TFA2d	TFA2e	TFA3a	TFA3b	TFA3c	TFA3d	TFA3e	TFA4a	TFA4b	TFA4c	TFA4d	TFA4e	TMA2a	TMA2b	TMA2c	TMA2d	TMA2e	TMA3a	TMA3b	TMA3c	TMA3d	TMA3e	TMA4a	TMA4b	TMA4c	TMA4d	TMA4e
11502 -0.8600938 -1.3918864 -1.004872 -0.9530839 -1.2320539 -0.9868023 -0.8238907 -1.2278914 -1.0235976 -1.1632843 -0.9530836 -1.1046331 -0.9172431 -1.1975156 -1.0069495 -0.9134239 -1.0686405 -1.1043556 -1.1236901 -1.1559784 -0.782525 -1.1215547 -0.9307683 -0.8909202 0.03527439 -0.9878039 -1.1624832 -0.855858 -0.8642798 -0.8981121
11504 -0.0500837 -0.1534779 -0.3354557 -0.1508409 -0.1132851 -0.348302 -0.2777925 0.04451563 -0.5075375 -0.2112528 -0.4030346 -0.3392119 0.07615753 -0.1085282 -0.0637182 -0.1520291 -0.1926614 -0.1724122 -0.2788308 0.07511936 0.14953887 -0.2953844 -0.3674428 0.04283076 -0.3336288 -0.1595093 -0.0865485 0.02755847 0.08358828 0.11171598
11513 0.28893246 0.39262305 0.517067 0.2788295 0.25872376 0.2793475 0.22343661 0.16512254 0.38626706 0.28135225 0.16210322 0.34543312 0.31360104 -0.0782519 0.14954501 0.36092492 0.23041521 0.38152272 0.45749523 0.45888269 0.2797536 0.23405065 0.38824185 0.24392601 -0.0034253 0.11434515 0.06388652 0.17844993 0.4002324 0.26289969
11517 1.68926264 2.00071496 1.69429418 1.68840898 1.49858231 1.61080334 1.69062675 1.37177668 1.4282115 1.71228954 1.25220846 1.56371752 1.91637754 1.59127269 1.79987331 1.67006978 1.68167212 1.71344347 1.89603902 1.83913417 1.71425722 1.429811 1.71301402 1.42089297 1.19993253 1.66437656 1.58296213 1.45748937 1.14312081 1.84261961
11518 0.61275976 0.49342463 0.45941661 0.27162175 0.3016578 0.35428259 0.3005778 0.28102973 0.24828424 0.30423103 0.35445381 0.39224376 0.32110976 0.33752594 0.24575644 0.1610155 0.47171395 0.27584226 0.50600003 0.39914454 0.40380768 0.24817473 0.41776751 0.09224055 -0.075723 0.34815982 0.48931051 0.15036671 0.19738882 0.41956469
11520 -0.5359903 -0.5100007 -0.4609053 -0.7469359 -0.5239892 -0.4164827 -0.714512 -0.9489094 -0.0252823 -0.5285754 -0.3288621 -0.7618229 -0.6576537 -0.5610412 -0.66299 -0.3459927 -0.2010118 -0.4634321 -0.4601714 -0.5521173 -0.4099127 -0.3943336 -0.1595413 -0.497899 -0.6028046 -0.5483865 -0.5046315 -0.6608593 -0.3885085 -0.5484941
11532 -0.5354078 -0.6851844 -0.5320894 -0.4412494 -0.6096963 -0.4299652 -0.6367917 -0.7283479 -0.2815433 -0.6570622 -0.6008346 -0.5439049 -0.7022776 -0.5915026 -0.598328 -0.5462509 -0.7485612 -0.4494638 -0.4191779 -0.7706095 -0.6129816 -0.5157308 -0.7099043 -0.6473546 -1.0732945 -0.7214512 -0.9273158 -0.5891112 -0.5777732 -0.6303508
11534 -0.27879947 -0.30404764 -0.25659315 -0.2009968 -0.206406885 -0.27333995 -0.279736245 -0.4481259 -0.017402065 -0.3533945 -0.31229725 -0.181406715 -0.293991125 -0.3671438 -0.25764781 -0.32343955 -0.268680015 -0.24988575 -0.2127408 -0.384545635 -0.384883145 -0.3645289 -0.2833456 -0.32642109 -0.464586995 -0.14165956 -0.177599125 -0.36611807 -0.24916217 -0.41471217
11535 0.366452533 0.016557193 0.03683737 0.087583277 0.157487833 0.034856253 0.227925267 0.13046188 0.149697403 0.14727721 -0.032561 0.344548087 0.180555463 0.09819908 0.181149617 0.068537777 0.020363647 0.124620453 0.214607997 0.254024513 0.145794137 0.01486888 -0.099562667 0.215220907 -0.119838423 0.252032373 0.36583529 0.080403337 0.451149233 0.326536287
11539 -0.9032571 -0.6248214 -0.5278204 -0.5189553 -0.5070854 -0.5751118 -0.7067365 -0.5433344 0.06169102 -0.351299 -0.3359977 -0.53589 -1.1733858 -0.5827991 -0.865067 -0.5603733 -0.8279821 -0.4951325 -0.5441099 -1.1432386 -1.2138764 -0.3754002 -0.4602633 -1.1602304 -1.0096823 -0.509043 -0.5695582 -1.0512817 -0.9103475 -1.0980984
11545 0.45811479 0.46115588 0.55623139 0.62741539 0.45890603 0.55888396 0.5195514 0.48023931 0.76429855 0.58043066 0.76074913 0.51314301 0.51115356 0.59622319 0.4893658 0.62588527 0.39944242 0.68613542 0.67330539 0.63099964 0.69110282 0.43526946 0.51691099 0.38437826 0.04642962 0.50884969 0.45652341 0.3241272 0.64953157 0.45703991
11546 0.29021632 0.20315223 0.27399586 0.18687252 0.17340044 0.5359637 0.57849134 -0.0407081 0.12872301 0.20173569 0.43740621 0.32609765 0.35227836 0.20087642 0.17655296 0.72339332 0.29528614 0.29190875 0.29547374 0.31502009 0.35551843 0.39521507 0.39261945 0.47671853 0.09898069 0.03892158 0.14339475 0.51109006 0.03795057 0.39938636
11555 -0.054197 -0.0755588 0.04781486 0.2308234 -0.0363596 0.05924589 0.02864915 0.35560205 -0.2052286 0.24831096 0.18582792 0.06184582 0.02442309 0.19218162 0.26087661 0.21255512 0.09606714 0.27857135 0.09550399 0.0875074 0.22371178 0.14507954 0.06133556 0.27771208 -0.127961 -0.0249865 -0.3337849 0.36385655 0.25790099 0.39683289
