Gene	GSM74435	GSM74446	GSM74447	GSM74444	GSM74445	GSM74434	GSM74433	GSM74432	GSM74437	GSM74436	GSM74448	GSM74449	GSM74439	GSM74438	GSM74451	GSM74450	GSM74452	GSM74442	GSM74443	GSM74440	GSM74441	GSM74455	GSM74454	GSM74453
361501	8.68790052248075	8.69627208392586	9.00365845032321	8.51096191927738	7.92005505480697	8.58383495471543	8.15177765473205	8.77082904603249	7.68509917200661	8.40471582659663	8.17192735435346	8.7262181593322	9.00225245173138	8.66355810421727	9.04412085578327	8.26584942144085	8.36325870170799	8.44790974874208	8.82686622653697	8.82654848729091	7.87467403163581	8.97527478760954	8.95564990752837	8.27426166125705
361509	4.5909612413426	4.14567745519564	4.41278152533848	3.57288966842058	3.68929916053589	4.76553474636298	4.12928301694497	3.68929916053589	3.62058641045188	4.73335434061383	4.14567745519564	4.4594316186373	4.30012372456901	4.84297883178833	4.85798099512757	4.48542682717024	4.20945336562895	4.51096191927738	4.27798474729977	5.56376827845203	4.28540221886225	4.76022094646651	4.06177619758669	4.28540221886225
361516	5.22496636500027	2.63226821549951	4.48542682717024	4.22496636500027	2.37851162325373	5.3327079336406	3.65535182861255	3.08746284125034	2.32192809488736	3	3.49825086752783	3.15380533607904	3.18586654531133	3.99095486039699	2.63226821549951	3.18586654531133	2.29278174922785	5.56071495447448	3.48542682717024	2.76553474636298	2.63226821549951	3.18586654531133	2.4594316186373	2.20163386116965
361520	8.2465030982801	7.63372181264101	7.82781902461732	8.67771964164101	8.77544567410286	7.26491169307446	8.72041528490633	8.85393328867793	8.63044915708062	8.64385618977473	8.85984534392145	8.57818396809009	8.53838296003212	7.94895120044142	8.29645740737124	6.99887245399427	8.80316244441589	7.15279185163912	8.2240016741981	8.50223511485679	8.60622012128167	8.08321336824898	8.20310325023664	8.54920708935568
361523	7.21140163741847	6.67877617412388	7.04821438460804	6.4110872267986	6.62351574149055	5.9898202201176	4.74953426766926	6.45285896471381	5.72246602447109	6.41447383643093	6.54766574835342	6.64024493622235	6.88264304936184	6.97384083953315	6.86913111964429	6.37155886261196	5.86170728658586	6.52825874275841	6.59544398458948	6.21334728173344	5.44956137461324	7.67348575733779	7.02569327368077	6.26021388677142
361532	11.5592336743487	11.2192895468488	11.1711142336308	11.2309811116465	11.3091921069599	10.8469790217589	11.3106695795588	11.6509619685482	11.6187525535367	12.0357957143635	11.2398968224459	11.2134080408583	11.8197001124774	11.3023533264312	11.2215267056346	11.0228532537178	11.3340497675996	11.5041734531587	11.7113228192114	11.4946556129002	11.8653466448168	11.2348174311173	11.1140676471653	11.3503314867529
361538	5.73335434061383	6.48058827023386	6.32192809488736	6.40599235967584	5.52356195605701	5.74146698640115	4.4262647547021	6.15987133677839	4.51727569320958	6.11894107272351	6.5438051759644	4.7279204545632	5.87528859822269	5.12928301694497	4.64961545906341	5.06177619758669	6.13545278418517	6.04875931191986	4.41953889151378	4.49185309632967	4.8073549220576	3.88752527074159	5.37155886261196	4.16992500144231
361574	9.91960823860325	10.7359790396134	10.9132634306288	10.9608707637962	10.8513586490335	10.2666108771956	11.2640906804686	11.2057321687206	10.3653382230464	10.7819743673893	10.9136000326697	10.8281761617299	10.5672906475853	10.0246548904103	11.0454866563595	10.9674424307078	11.1705510353167	10.2958263197168	10.8525295094042	10.5389648874515	11.2588604314098	10.7426462782618	10.7872904265596	11.173271126028
361585	8.10328780841202	7.40087943628218	6.92124588858559	7.17092652528738	7.09275714091985	8.34562701215377	7.3983161634002	6.10852445677817	6.99774402605963	8.23840473932508	7.10852445677817	7.26397335480341	7.9442728176116	7.95826269732954	7.67525138605026	7.7279204545632	6.74281466986289	8.36501007678302	7.43962313755712	6.62205181945638	7.73944309777245	8.11322124347957	7.29920801838728	7.61102479730735
361596	13.7958519570154	12.9025447003304	13.3922570408634	13.3768647302695	13.11919241968	13.3393072203661	13.536635768085	13.793466145132	13.720858790729	13.5566198085113	13.44650825555	13.5437508129385	13.855233490027	13.3496613446402	13.5843048726509	13.168570273554	13.3308258667253	13.374204045093	13.7328192900203	13.6139333125021	13.5262974922499	13.4380640850936	12.9327038120874	13.1375115287384
361619	10.5148126628697	11.526450333391	13.3446287991316	11.9939997917925	11.5448678636242	10.1877232162907	10.5051168292279	9.54901451176201	9.86959384324078	10.1421070573025	11.9966147148154	11.9818526532897	10.5508429618468	10.8494051009478	12.9348150172848	12.0524661619633	12.360408174824	10.1053847492476	10.3352786866695	10.1935253605012	9.66835318047296	12.7194102130587	11.7424357611172	12.4623488950213
361624	7.25573675687748	7.20310325023664	7.38780194165627	7.3544697921574	6.71115071124326	7.18883607303053	7.22905911963416	7.3819754785573	7.32418054661874	7.21067134378562	7.10852445677817	6.34385193344212	7.3789450602529	6.9901039638575	7.37916172992979	6.4606606646076	6.9407540474748	7.59768014371589	8.31083995984138	8.67118720479182	8.08467553684051	7.36522884925154	7.45532722030456	6.51924309436118
361628	11.492904678121	12.2555892465719	11.4633200110581	11.7074885546584	12.1492072778534	12.3651741592445	12.2782461656112	12.1068900450922	12.2664644746056	12.2101538287047	11.567005370247	11.5341083049318	11.9715794771848	12.2553236900081	11.4710146746256	11.8769005910403	11.5729370250173	11.2997231746295	12.1001038106925	11.4368676695159	12.0896159942281	11.0443258083169	11.6944884813444	11.6868944131954
361659	8.65427799526124	9.45881670279043	9.29668682536344	9.59039991779973	9.04083764926659	8.63299519714296	8.72451385311995	8.12205144771389	8.66426949231891	7.54225804976692	9.21237478756727	9.20138881742539	8.19031854794182	7.21042783040149	8.97384083953315	9.72502535641937	9.33940465790782	8.36413465500805	7.44956137461324	7.98527271425345	7.61102479730735	8.90598862931413	9.51983279191318	8.55420510515565
361673	10.7136442694637	11.8608154055769	11.8311488712193	11.7366133306946	12.4068693214231	11.379811543787	10.4974526959772	10.8955752823807	10.2302606646698	10.7975804732938	12.0285277138994	11.9816029564135	10.5891829670394	10.9954845188775	11.7984718011016	12.2511273148213	12.0905755960063	11.2838986282719	10.6341757615579	10.1346830046876	10.6988782658369	11.5964693211178	11.3821376428964	11.9135626363209
361684	9.89504506079667	9.24114898081252	9.57506646457866	9.57374184941658	9.3566720442121	9.71998768033848	9.97290800840808	10.2563856231033	10.1459321458205	9.85018683764577	9.72459911626473	9.47055720063714	9.55353330302902	9.81185631429254	9.68903701916316	9.35612179627801	9.61194694181998	9.68062324621637	9.84619554447187	9.87620995751375	9.73572524507657	9.53381638943337	9.53342707686516	9.44138802934669
361705	5.55765515472542	5.01792190799726	3.79701297783614	3.53605290024021	3.83794324189103	6.26303440583379	3.68929916053589	4.85798099512757	4.60880924267552	5.34695688937888	3.74416109557041	4.06177619758669	5.19377174339668	5.16591193893569	3.47248777146274	4.51727569320958	3.0703893278914	5.58796498888268	4.01792190799726	5.5298209465287	4.24031432933371	4.54225804976692	4.31469652565629	4.23266075679027
361725	4.82527683005487	8.28355142317431	5.27984269352035	3.23266075679027	3.5909612413426	3.99548451887751	4.07895134139482	4.39231742277876	3.51096191927738	3.5909612413426	3.16992500144231	4.16188768237689	4.96578428466209	4.52356195605701	5.26865895502767	6.61397358738023	3.02680005934372	3.36457243229586	5.40087943628218	3.63226821549951	4.31831684133498	4.86294724802092	4.43295940727611	4.4594316186373
