Gene	LuFA2a	LuFA2b	LuFA2c	LuFA2d	LuFA2e	LuFA3a	LuFA3b	LuFA3c	LuFA3d	LuFA3e	LuFA4a	LuFA4b	LuFA4c	LuFA4d	LuFA4e	LuMA2a	LuMA2b	LuMA2c	LuMA2d	LuMA2e	LuMA3a	LuMA3b	LuMA3c	LuMA3d	LuMA3e	LuMA4a	LuMA4b	LuMA4c	LuMA4d	LuMA4e
11502 -1.2722958 -1.0207941 -1.2254308 -1.0358806 -1.3779735 -0.9914149 -1.1977661 -1.333275 -1.0787781 -1.5452225 -1.2644957 -1.2049695 -1.4282154 -1.1159168 -1.0665364 -1.0786409 -1.0547687 -0.9618871 -1.4284515 -1.0167265 -1.1160411 -1.1068534 -1.1307034 -1.1719586 -1.0642994 -1.2574921 -1.4937992 -1.0124797 -1.2936623 -1.1554956
11504 -0.4643874 -0.5644208 -0.3708816 -0.4038407 -0.6639388 -0.4859899 -0.560187 -0.5088635 -0.5444999 -0.2311964 -0.5336546 -0.5961711 -0.2561449 -0.3825619 -0.1554925 -0.3022188 -0.3861156 -0.3795074 -0.5191739 -0.5053666 -0.6739471 -0.4722676 -0.5532587 -0.4417856 -0.2638191 -0.0450196 -0.7036055 -0.3439003 -0.3689434 -0.5565721
11513 0.19775684 0.32625561 0.5259135 0.41916676 0.36548401 0.39917837 0.32520236 0.30711163 0.40640177 0.40593807 0.24728688 0.31593314 0.39911564 0.58559121 0.32478762 0.32009357 0.30794688 0.28099061 0.47962879 0.3075726 0.60013386 0.34742768 0.38809011 0.36871214 0.27469413 0.2791962 0.35265823 0.4142152 0.3651374 0.35698323
11517 1.03429096 1.15874002 0.7899122 1.10582711 0.75802818 0.79221095 1.07794065 1.08376625 0.71562286 0.963612 0.91503243 1.01038114 0.76258433 0.99545894 1.19686171 1.17567306 0.67608206 0.62672048 0.53374999 0.92339198 0.64432193 0.58141248 1.13724737 1.14239868 0.74624847 0.86008656 0.68080232 1.09632848 1.14081689 0.70254832
11518 -0.0393317 0.02836214 0.45790463 0.53170209 0.53090805 0.39276305 -0.0505042 -0.0793324 0.33118073 0.42715268 -0.0044242 0.58603596 0.45857797 0.36404157 0.00529047 -0.128417 0.28021643 0.4018197 0.73217839 0.32493087 0.27972829 0.39238797 0.1381466 0.06155486 0.23416715 0.24201111 0.34601192 -0.0038989 -0.0199713 0.5292725
11520 -0.9847988 -0.509951 -0.5060774 -0.3812308 -0.5951711 -0.3377169 -0.8008444 -0.7015796 -0.3835955 -0.7163459 -0.7708503 -0.581622 -0.5573726 -0.5385198 -0.5100397 -0.621881 -0.4348542 -0.4207688 -0.6712084 -0.6673629 -0.3358484 -0.4623622 -0.549299 -0.687261 -0.5525665 -0.4246352 -0.4124731 -0.6013416 -0.7544419 -0.5825393
11532 -0.1036765 -0.0809516 -0.0380959 -0.0514228 0.00313455 0.28951707 -0.1837181 -0.2378227 0.06992102 -0.1683155 0.26513931 -0.4495583 -0.0426954 -0.2110016 -0.0873978 -0.0996868 0.15903356 0.08500252 0.07593123 -0.4324389 0.19969923 0.23126642 0.00012707 -0.1601654 -0.1752271 -0.0908149 -0.1766844 0.00309941 -0.2333829 -0.1423934
11534 -0.51969505 -0.59406765 -0.203282 -0.2441698 -0.2356394 -0.399657535 -0.4907622 -0.5942747 -0.32080302 -0.4541173 -0.7519111 -0.73443155 -0.387619 -0.3761631 -0.46549555 -0.69311335 -0.371961025 -0.274456735 -0.40479745 -0.56546555 -0.24520829 -0.42392085 -0.5122364 -0.76224235 -0.4071749 -0.5378053 -0.50094195 -0.4485811 -0.48656295 -0.38999145
11535 0.04458269 0.10563528 0.097557933 0.043535123 0.134900087 0.22399828 -0.02365802 0.1711321 0.031003627 0.319086667 -0.121855457 0.351622033 0.25757308 0.093870733 0.079398183 0.05175414 0.321795487 0.076829657 0.059291177 0.170337513 0.09964669 0.13053775 0.057437657 0.271184683 0.05063146 0.264469277 0.29500309 0.21157339 0.04138069 0.0413523
11539 -0.2763623 -0.0635276 -0.0603386 -0.2351973 -0.0833508 -0.0858747 -0.2627625 -0.391944 0.11794403 -0.1966746 -0.1487986 -0.1642042 0.05131311 -0.1823814 0.02417805 -0.2640933 -0.048076 0.12170897 -0.0360314 -0.3466702 0.14825288 0.06067001 -0.3227774 -0.440162 -0.0630158 -0.2028987 -0.1400335 -0.1355213 -0.5321414 0.00566016
11545 0.4821263 0.67043111 0.45768193 0.62520127 0.58074952 0.68941243 0.6217621 0.67935698 0.57092959 0.7068606 0.34340595 0.58397278 0.64842923 0.52716196 0.55688735 0.64505077 0.59516509 0.69242515 0.53350922 0.42044083 0.64481742 0.70011866 0.55590376 0.34111358 0.59432509 0.7981374 0.67597366 0.80068312 0.5788689 0.6014219
11546 0.26826515 0.57324023 0.03182155 0.22131052 -0.1377292 0.07814674 0.49908064 0.36930145 0.24991473 -0.1804343 0.41381369 0.12042356 -0.2245318 0.25511558 0.49099839 0.52708217 0.06954137 0.24613109 -0.077195 0.12511815 0.17680916 0.07438955 0.48583863 0.49081351 0.09153475 0.08325081 -0.1372172 0.58247855 0.45862021 0.12748682
11555 -0.0322481 0.06409348 -0.0151531 0.03594553 -0.1921916 0.09307762 0.01115376 -0.1284791 -0.001028 -0.40962 -0.1418742 -0.2138002 -0.051485 -0.1818728 0.14592411 -0.0618993 0.07267386 0.13911466 -0.2172909 -0.1524404 0.07565267 0.05604011 0.02587376 0.18003113 -0.0721724 -0.1406216 -0.2718719 0.23952521 -0.0482506 0.06075724
11566 0.15628775 -0.2012914 -0.015388 -0.2141294 -0.1099283 0.0031674 -0.2952701 -0.3276897 -0.1181045 -0.3701583 -0.0667597 -0.4522666 -0.169897 -0.1219425 -0.2995774 -0.3637968 -0.2248274 -0.3015273 -0.0180136 -0.477419 0.06570204 -0.0597251 -0.1739583 -0.0871947 -0.3546595 -0.3886881 -0.2614901 -0.2213673 -0.3839953 -0.2016729
11568 -1.3979063 -1.3630691 -1.3217945 -1.1221667 -1.4507493 -1.1536597 -1.2452734 -1.2833923 -1.1557259 -1.3529395 -1.3860895 -1.3598085 -1.2789813 -1.2516722 -1.2275807 -1.1566552 -1.0847888 -1.0381041 -1.2315127 -1.1000835 -1.2483953 -1.1544258 -1.2588447 -1.282838 -1.2809287 -1.0940017 -1.2175346 -1.2355129 -1.2126816 -1.2308998
11569 -0.281652593 -0.3385063 -0.383668723 -0.410942607 -0.50488096 -0.512157333 -0.34341754 -0.24333766 -0.50031772 -0.421331723 -0.441229057 -0.40806477 -0.55069745 -0.355252417 -0.364294177 -0.32932086 -0.637305 -0.473754073 -0.445347123 -0.129934573 -0.7189491 -0.44075589 -0.601217367 -0.605410667 -0.35497887 -0.423596747 -0.548787067 -0.35497763 -0.255464867 -0.35012769
11593 -0.3429531 -0.1508812 -0.0859919 -0.3018657 -0.0463094 0.05788823 -0.3480113 -0.1665257 0.08395196 -0.2858323 -0.2834083 -0.3295577 -0.1417974 -0.0676827 0.06774741 -0.0038008 -0.0167674 0.04890928 -0.1241219 -0.1982112 0.01334677 0.15435455 -0.2475957 -0.4618422 -0.1260618 -0.3464773 -0.0156914 -0.1282801 -0.1665187 -0.0449963
11602 0.33375012 1.07555602 1.06318501 1.06620305 1.18584483 1.28100813 1.34705567 1.02444934 1.43278932 0.83522205 1.43876229 0.88051105 0.95715833 1.14034711 0.82948988 1.36954217 0.95898859 1.17644995 1.36042473 0.87276992 1.3354702 1.41682606 1.21372348 1.35498327 1.0610104 0.81099325 1.01928713 0.95252433 1.03399541 1.4320111
11603 1.17848673 0.88416185 1.26162157 0.91645389 1.29706946 1.16003875 1.14263453 1.10599997 1.23871497 1.16030425 0.86065497 1.00952099 1.27278953 0.69709457 0.96781929 1.28448806 1.4308465 1.17508667 1.29277248 0.85028852 1.56883586 1.26075944 0.96747255 0.70580224 1.28384045 0.91131034 1.19659008 1.12764222 0.73773885 1.39498217
11605 -1.0657131 -1.0189146 -0.9962318 -0.7854444 -0.9865606 -0.8900255 -0.7483155 -0.8130504 -0.8146012 -1.4014106 -0.5595886 -0.7776629 -0.826509 -0.8165767 -0.8442852 -0.816589 -0.80393 -1.3250478 -1.0129684 -0.7475816 -0.8809948 -0.8346696 -0.9012502 -0.5697656 -1.0378025 -0.777222 -0.6954369 -0.9885594 -0.9223395 -1.103291
11606 -0.0844257 0.04712711 0.4816781 0.29870226 0.48817201 0.36078252 0.21292834 0.08175525 0.4201259 0.32123347 0.01885699 0.29624445 0.50701187 0.36271126 0.14897687 0.02552517 0.25603792 0.28705222 0.37326335 0.18045913 0.3285983 0.42156992 0.21868137 0.17404706 0.30888522 0.33686021 0.44726634 0.02731957 0.10006088 0.47860017
