Gene	GSM197121	GSM197120	GSM197125	GSM197117	GSM197116	GSM197114
11438	4.89368802551087	4.92582754063329	4.54498699617479	4.94053558094463	4.97699577556653	4.66677635171683
11440	3.94639588436839	3.79852739661905	3.9337274948442	3.6914437867229	3.90963665164205	3.88614081556497
11441	4.42104564786352	4.30079076142429	4.45750129659421	4.38356699068157	4.29788319470708	4.47602281452074
11443	2.96730249756825	3.15866813308508	3.15018579149059	2.98414689839921	2.88872892538833	3.25401710350537
11444	4.852819457601	5.11115125475386	5.05880851146606	4.97635384874876	4.88070250036019	5.0725857040958
11447	5.49454899349461	5.59446517798483	5.39584907625456	5.37006448217511	5.55487654033947	5.53634166340083
11448	4.29822710372888	4.28900661343572	4.37698586675766	3.97575623163069	4.36152103440234	3.96949622825184
11449	3.54453183980499	3.41373958918099	3.57455231168503	3.35539525539622	3.39335800210517	3.39814980255033
11450	3.03204833473247	2.81525540013781	2.79626973194515	2.3640223458738	2.84768623205221	2.85558244293226
11451	3.1569388835917	2.83961209723844	3.00790176347627	2.68298346831387	2.89178077402793	2.97697167862868
11459	6.44596530222964	6.3554354175224	6.81701134747695	6.47022984244423	6.1680913730916	6.44416600514809
11461	10.482493158837	10.0646672981415	9.74774909990192	9.86118277217751	10.1970142066957	9.81803509590464
11464	3.51176348504498	3.41136663852726	3.6561622100629	3.70062581602725	3.38382164643507	3.42035964627041
11465	12.2208192624979	12.1840981164921	12.1786220379471	12.1068557887754	12.1253674730297	12.1833029355473
11468	3.14201829806616	2.95053121700024	3.03218738825755	2.96752672781412	2.96312004980135	2.99736574359815
11470	3.74933032016936	3.80979950342606	3.94179292873228	3.64009265221462	3.73204120870415	3.65332458223027
11471	5.26383742762252	5.39027344275031	5.29714670514693	5.11875875520281	5.36695081406268	4.92206184894565
11472	8.5817283830324	8.60404832183267	8.89632550977552	8.45446465222166	8.28459644442937	8.4891323882444
11474	3.39545447315631	3.31291514921766	3.53418446788986	3.47358267972518	3.48161953616906	3.33798259088428
11475	4.64307332385637	4.51788517301202	4.84320926970571	4.3891470925847	4.62929993838779	4.44740096827782
11477	6.14716093830189	5.76301662806147	6.16810473227132	6.20227336067936	6.08216128635247	6.09935674629359
11479	7.21914897057787	7.30834950194814	7.19541145623852	7.07654250029279	7.08504757463412	7.08596611160739
11480	7.0629823987233	7.23674352521779	6.99493521196909	6.97558711067005	7.03478492476893	7.18749244267866
11481	5.3099320191957	5.47950871358977	5.27784049829838	5.33236689908488	5.43755678058313	5.34172529823704
11482	5.61709393742549	5.15199594225481	5.77299427498643	5.44195071308021	5.4305271947443	5.40835145761176
11484	7.67613352900121	7.41097079989702	7.51208718327783	8.2217902710608	8.21501317308502	8.25034134600607
11486	3.42032872535569	3.27657912198436	3.58244630562342	3.29901997097551	3.46351946743916	3.50108397801829
11487	7.13831434509899	7.17550057668815	7.05409176426471	7.33407282234387	7.33055792428718	7.28089482823942
11488	6.55263892424917	6.62316450866335	6.63152206075175	6.75589791543542	6.46033323743078	6.88608051788199
11489	3.9523412550964	4.02220749199954	3.80672370942239	3.64684456915032	3.96972017614384	3.79300000602275
11490	6.12069237651692	6.07902088690662	6.06662319306814	6.18101280615899	5.74656536022135	6.22161780804189
11491	5.72101434386284	5.52805969534421	5.70275253160929	5.64752962205755	5.3291533223338	5.56761561521439
11492	4.53075214748601	4.76131511304887	4.6851831295318	4.33557008068791	4.46884652230096	4.38187876362147
11495	3.10452815250438	3.09885400197468	3.54099360489874	3.12655988350263	2.95347759434751	3.08763393675656
11496	7.6417345634095	7.67821934817909	7.59908381736968	7.34999720712391	7.47431571783603	7.49555912910636
11497	2.80395780966312	2.55774143421612	2.97079884928641	2.87287211181104	2.82484344334205	2.87213650994798
11498	6.24221914916631	6.5543031542733	6.41833429659966	6.18616314927495	6.25220974733461	6.14435567261533
11499	2.72494070246042	2.67161909461419	2.66304560393929	2.35203661397389	2.55852450819723	2.81132217560113
11500	3.52019979002783	3.74053260880142	3.61979577077374	3.53986579883298	3.55871146246595	3.33207285731604
11501	4.34310656404534	4.4045940187036	4.24848968688616	4.00224738175866	3.9331756717547	4.41071252268134
11502	8.0249108297404	8.33407704625227	8.16660478767433	8.38492922676989	8.38298181354171	8.25548051562152
11504	5.49540965388684	5.84723543448756	5.49145335535077	5.99435039686474	5.94158466634495	5.76850236625904
11512	5.85988047448726	6.3368286419997	6.23410739911568	6.15024305561919	6.29864855975511	6.187361488871
11513	3.95978545800898	4.31091501385761	4.03358044106203	4.61400921766139	4.30596809842962	4.30126739748037
11514	4.82712359173142	4.47096338655297	3.89907706510532	5.30969437376017	4.46884223826478	4.58726231380865
11515	7.70035191934275	7.93853878701467	7.9797729709701	8.01267979871265	7.99911629202812	8.10083874580095
11516	3.47514277223211	3.88495293766018	3.43784299437411	3.59436303364498	3.41142272398179	3.83655074462604
11517	6.09879385373878	6.65407406247681	6.5457734300581	6.62740624519402	6.56998442581706	6.78939914173109
11518	9.82012726782513	9.90723227273338	10.0692824590202	9.73707057295762	9.60459776378382	9.95441648038108
11519	6.45986826107904	6.21956332362172	6.37649409653922	6.27319551865439	6.08192021566702	6.41806381812692
11520	6.55156186292657	6.47100375204102	6.62975953515941	6.82480998108228	6.80064053636638	6.56078840868062
11522	4.39477870348632	4.14165631173975	4.22797779894765	4.250437319858	4.39308804451598	4.46115392158809
11529	3.85829276405697	3.96350520981271	4.03402261207898	3.80113494770478	3.72959307293377	3.71742366701267
11532	6.31945089519613	6.33640331727113	6.46173053529303	6.40090541397736	6.37309920530155	6.27247293373979
