Gene	GSM13328	GSM13329	GSM13323	GSM13324	GSM13325	GSM13326	GSM13327	GSM13331	GSM13330	GSM13320	GSM13321	GSM13322	GSM13313	GSM13315	GSM13314	GSM13317	GSM13316	GSM13319	GSM13318	GSM13305	GSM13303	GSM13308	GSM13309	GSM13311	GSM13310	GSM13312	GSM13306	GSM13307	GSM13304
24179	11.8575922856975	11.8374899639339	12.0295460605139	11.8923720509485	11.3195874532607	11.3239835974256	11.684178792364	11.4402982040873	11.7760011463146	10.9515761390748	11.7657004876511	11.495230456532	10.4243237796802	12.1472685344324	12.0777670612127	12.1373113907009	12.0402725949146	11.8975618795838	12.1694396382715	11.728983369988	12.0623834918763	11.7890037444027	12.0973243833307	11.8170436010153	11.8361884620318	12.0662069429433	11.7066686821797	12.0196775932187	12.2027666474025
24180	9.11660388287422	9.08878823871691	8.76818432477693	9.21273954970504	8.77676200178623	9.62853667402691	9.00239311326719	8.79555267794562	8.8801957289431	8.94251450533924	8.86341195894164	9.22809716257842	9.27076252046605	9.40215936690663	9.20847824221171	8.68299458368168	9.25738784269265	8.56090597665826	9.08414401061514	7.80186999636449	8.70303838898642	9.14618679149074	8.18759951253579	9.23995647368487	8.73555602391153	8.56795607541547	8.4870360800319	8.94588272347988	9.231701199029
24182	8.94865924556015	9.11426290059405	8.29094040240368	8.56147889150101	8.43629511983936	9.02486262686334	8.80703285596834	9.39724678744072	8.78855521492886	8.69905184401685	7.85549144310187	8.8592241619782	9.28146643600001	8.29645740737124	8.84235034341381	9.196479181784	8.85953478638265	8.62021982550749	8.56109697355281	7.77280941016073	8.69939893773701	8.51451681645401	9.0679720778857	8.85829188728283	7.81378119121704	8.49024921062709	8.52825874275841	8.82177398197057	8.51293794347466
24183	10.2935866000386	10.3347760735703	10.3368412530123	10.455686821684	10.688818531628	10.3952127867493	10.5636729598275	10.6793481396559	10.3231110705246	10.2626821423622	10.4771511141416	10.6518589438574	10.5607627123917	10.1173833669315	10.516734187208	10.7410455770098	10.36768775627	10.3335467261065	10.3993313368872	10.1350679457778	10.4099742610413	10.5390133708094	10.6625348688739	10.3594201402864	10.2751351219854	10.3802445904782	10.2280971625784	10.5316738690653	10.4751761026324
24184	8.49785183695112	6.25171909260596	8.47816289273763	7.91229058335111	8.03672310600552	8.1548181090521	8.64457735701838	5.39231742277876	6.71699089440494	8.36312726282903	9.16289479937478	8.01122725542325	8.44045394382303	9.02541644454419	8.05636676102453	9.33315535031062	8.26725487215199	6.69766263347052	7.11997860965488	8.05148086534133	8.68999797141945	8.25785923463963	8.04548665635946	8.56224242422107	7.99038765180274	8.38758656581935	8.23744899563932	9.22544846861074	9.66391384211598
24185	11.8583501721042	11.8799660796644	11.9857174387164	12.119411299098	12.4822155336849	11.6969023427569	11.8515538584298	11.8022134158237	11.9206878076375	12.278304252137	11.9119911136996	11.5074725741094	11.8002730324397	11.8841323520681	11.9429909265528	12.0292699697473	11.77169578985	12.0054140238574	12.2255840312292	12.2183361891014	12.1288482107365	11.9496443565857	11.8243621335695	11.4902492106271	12.0953475694184	11.8590494063556	12.6143762743358	11.9427527356121	11.5750664645787
24186	8.03287224946323	8.29347164883813	7.69488019279919	7.84077792359505	7.86913111964429	8.05690861832325	8.4377520723236	8.22905911963416	7.8648051942415	7.92303029826377	6.28632672709055	8.063664718714	8.45881670279043	8.10878579090458	7.55074678538324	8.24863919398464	8.16515824538391	7.46229776553889	7.59544398458948	6.91468410532839	7.41151098801207	7.67983193343985	7.8743666501409	8.26185985961497	7.33360262826828	7.98840066372944	7.56109697355281	7.29874994724805	7.91498301655724
24188	11.5039747690419	11.7582232147267	11.5502658068687	11.4792750302502	11.5218457751619	11.5258144077884	11.9543053809897	11.9390649238152	11.7110646495592	11.7318281276748	11.5099234221081	11.4165336601996	11.6715852933498	11.2993225134503	11.5353239841254	11.6162271880107	11.6532929453828	11.274261661257	11.6829945836817	11.5841169238438	11.7281331003062	11.4081704941156	11.7048978945646	11.66053078524	11.3437409184722	11.5038754167217	11.3987971240984	11.5853381536437	11.9990134454472
24189	14.241862150636	14.5310828989791	14.2834754609193	14.5446626326834	14.4453802599076	13.9378174671407	14.4164792315431	14.3107387989754	14.5578361144024	14.3786487795126	14.1866191718322	14.2050620202443	14.1408637133206	13.883299582184	14.1319955818982	13.9657752677899	14.1928841828051	14.5735554778317	14.5117217738341	14.321221719947	14.3358491497638	14.6347855305762	14.2201269981238	14.264017353046	14.3373013294204	14.158507130788	14.0516465441599	14.4667440442152	14.4279904216352
24190	11.118649130971	10.8134204723651	11.0995450660662	10.7878209566854	10.824043842282	11.2904508993564	10.8175033476879	11.3828941688921	10.6283088285076	10.6690179045901	10.83873121233	10.9266295701752	11.000633857579	10.9338381622414	11.2349072226202	11.351960636788	11.4137072539167	10.7714069330985	10.9171109683289	10.436919708221	11.0298048476307	10.8877537199845	10.8214551191025	11.4299035958637	10.4389477550016	10.8386918240278	10.5680511114842	11.0045716151677	10.8326527092804
24191	14.2969627955436	14.3893153958583	14.3516225323593	14.4978081862852	14.5678758838626	14.3452458317522	14.3223084428525	14.6544821969955	14.3463994598796	14.5930379928055	14.2269690522971	14.5045645325694	14.6093836518616	14.2696709483339	14.3118263500967	14.4349311461555	14.4189594218604	14.4582463903383	14.4295963508636	14.4899733631115	14.4638340545742	14.5321671741411	14.4211937074704	14.4373164416364	14.9128472445392	14.4073939148677	14.5709348529791	14.5398009971001	14.5642447771322
24192	11.3865630912772	10.1533620242393	11.2805388069432	10.8167836793786	11.3265699295698	10.9094431087056	11.2367915543847	10.2514824106202	10.4810425749338	10.5880118532151	11.1869498937447	11.0583300262057	10.6037654155685	10.8749813476538	11.0234424979015	10.9411943633766	11.1360619017965	11.1356131032289	11.1656293499938	11.2892696494192	11.1599343902537	11.0942096736909	11.1434151034482	11.1849063282938	11.140382453192	10.7992411412952	10.9289994401318	11.2470077395069	10.0041502262909
24197	9.42059187677394	9.53838296003212	9.36325870170799	9.54554371207463	8.94456566142482	9.10721707559138	9.48502423332337	9.75238064655289	9.335836940378	8.59507095419544	8.90598862931413	9.69801006153743	9.14414836650889	8.91767043436176	9.60862445944877	10.0719985807531	9.79441586635011	9.23816586275513	9.41278152533848	8.92896244083598	9.17042585027251	9.30149619498255	9.02652344251977	9.62260096431141	9.41468523580721	9.33851355532181	9.36040817482402	8.81249822533356	9.70873904135958
24205	9.70165301373567	9.62003649809878	9.39795979281299	9.32151476366653	9.21010308193846	9.05943459827976	9.58796498888268	9.31352552222046	9.55209267277161	9.91468410532839	10.2039189312901	9.12842401421588	8.89183432320887	10.2513640550649	9.48435299381893	10.2117666456534	10.1177296691513	10.0933735455611	10.2706068059445	9.04051804974992	9.75900043914897	9.59861085469642	10.2175134748358	10.150128062615	9.84737060090548	10.4127109692783	9.3359485652023	10.0870207713707	9.48576223624364
24206	10.7775840971079	10.9136374280491	10.8349450230622	10.3467353282879	10.7838985888225	10.5349836971965	10.8221724614762	10.7598049804166	10.6059424396254	10.8481534404932	10.4614794472862	10.5292353183328	10.6240643295094	10.5527651459175	10.7086528356865	10.8184224017411	10.582424281834	10.481093044404	10.6688849842662	10.9266666293473	10.6256175303621	10.558037984777	10.7303852203214	10.6749866794581	10.6276250759675	10.6083472402247	10.8701334999273	10.8390462800406	10.7508744396568
24207	10.7234049734407	9.80219321694183	10.2071363704327	9.37569110419135	10.0833463539191	11.067232665152	10.2013888174254	10.3664315051849	10.5450609954907	9.76487159073609	10.5560269927247	10.5879649888827	10.2609195336629	10.6410582567593	10.2146833917384	10.573268477676	10.5592814813255	10.1124395067816	9.58796498888268	9.43024345027508	10.5665297826242	9.62351574149055	10.375908263075	10.4992479613825	9.84611717333673	10.5040244426364	9.7488637145357	10.5615743551927	9.55055441321936
24208	8.73978060977326	8.64132926174569	8.59693514238723	8.33628338786443	8.66426949231891	9.17542479858969	8.85143673596167	8.66640155434373	8.70424950200186	8.93928535647869	8.47289387844386	8.44625622988956	9.00365845032321	8.75120928822302	8.82686622653697	8.98868468677217	8.94544383637791	8.48784003382305	8.73131903102506	7.53138146051631	8.65963918701565	8.65535182861255	8.83920378809694	8.98555735370211	7.68999797141945	8.3389591754152	8.52825874275841	8.67313237214536	8.9515761390748
24211	12.2327207079649	12.2845204951763	12.3059334821583	12.1706136237656	12.5464001364344	12.3092063206341	12.4758347402632	12.2591106220763	12.3684655372782	12.3361159862466	12.6592154847539	12.1370391584063	12.239434441698	12.2615513827154	12.3084528028646	12.5040865322244	12.3538498025874	12.5572004120559	12.7882595169701	12.2677376797882	12.4776191499414	12.212009933182	12.4860556552297	12.5205941280151	12.3966047811819	12.352526267008	12.2363580769687	12.8010009820742	12.4717260126189
24212	13.358390217599	13.1033697773925	13.4519837772302	13.387626951238	13.0223504728396	13.1416920632069	13.4498708440737	13.1008922584175	12.9918229666093	13.0568916883628	13.2099254541984	13.175034878901	13.0295288063889	13.4542093151789	13.4533349467284	13.4676437565432	13.3413520280499	13.4432155301482	13.4423215104798	13.2294196882304	13.4634605131892	13.7043900117884	13.4455839461412	13.241327771895	13.0063611460385	13.3759625476889	13.2973891911056	13.3538222413105	13.4572141283663
24213	13.4670450723896	13.8076366709191	13.6193488127619	14.2464696966768	13.6724363919831	13.0780006582081	13.8967013566403	13.5422036284105	13.8256445336641	13.5627194270493	13.5802703464772	13.2970738855183	13.2227647206478	13.4737945203173	13.7389577858963	13.5567515122787	13.5653936827866	13.8433764056849	14.1236526183636	13.5812535519682	13.8957456693707	13.9080923408183	13.4683249352248	13.5886795045935	13.1147021242147	13.636505674859	13.4919658024772	13.8136860102795	14.0773790397609
24214	9.95613411462837	9.7561671037336	9.93511592738367	10.1454227196002	9.44570463552578	10.4479097487421	10.2479275134436	10.5253903016056	9.85445286049213	9.2661618621656	10.6581519644019	10.6921214429749	9.87077568527224	10.2620556837355	10.2151284869038	10.9509446457557	10.6051399478186	10.7677982308673	11.1235825706299	9.08010688414053	10.8879567556138	10.4230108302067	10.7685703153878	10.806871795958	9.08834657484054	10.4659064625696	9.02633900183415	10.5043224482919	10.24765065395
24215	10.8006896263514	10.7134208848681	10.8924669232773	10.7091699924758	10.9917769169516	10.466463983835	10.8094948346851	10.3062212203436	10.702796044331	10.6802540209329	11.1537800076432	10.2139304637292	10.5793630837064	10.9734103770383	10.7216119038844	10.6376211133433	10.5878712556506	11.1041400582508	11.2689863778341	10.9487322398196	11.0365857522623	10.9715722926096	11.1540712578115	11.0144808314445	11.006508420288	10.9772799234999	10.8209447918807	11.1038385504745	11.0241007802529
24216	8.14363830992204	8.54631572281727	7.5618607083726	7.18834157601082	8.2240016741981	8.69348695749932	8.12644636477543	8.53313502348026	8.17492568250068	7.54728015566346	7.64277376253308	8.48562808197156	8.52532504343348	7.66604642940879	8.25100893012995	8.28840470702377	8.60529430783728	8.05636676102453	7.8801957289431	7.62862780216015	8.15557722248235	8.16264308602844	8.60880924267552	8.62771626169835	8.10197567094923	7.92005505480697	7.51491126486135	7.97441458980553	8.05392588153111
24217	5.85549144310187	7.77016832010343	6.66391384211598	6.82680268428583	6.10223819393074	5.91169158187234	5.70873904135958	6.21529030565123	5.73606362787181	6.52199295640167	6.93545974780529	7.67101024127845	5.80219321694183	7.13031314554346	6.88874324889826	7.49105137636412	6.92362461136832	6.95419631038687	4.11270013274936	6.80864246791806	6.96578428466209	6.38370429247405	7.76420813013995	6.57742882803575	7.19967234483636	7.72587745912023	4.56071495447448	7.26209484537018	7.20847824221171
24221	9.38210521148674	9.22649247408542	9.4152488160833	9.17409343843901	9.23760833022901	9.36654078784534	9.28338164804346	9.51799738518897	9.28061613214976	9.08861158939124	9.20098031867109	9.60071824600559	9.60115173882049	8.91059276613982	9.47309688907403	9.78365308639007	9.63740979359095	9.21123938188876	9.04921326083675	9.11723616331279	9.32725322104465	9.53794959493351	9.59021276140836	9.62345477438758	8.98128185405741	9.85709977002445	9.3309915498385	9.60856285978006	9.70648450638517
